SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
1179,313,DELHI CANNT,279 IPC,30-Oct-16,PVT CAR,CAR,OFFICER MASS KE SAMNE RR HOSPI,NH-8,2016
1381,313,DELHI CANNT,279/337/304 A IPC,27-Nov-18,TAXI,TWW,"BUS STAND NR MASJID, KVS SCHOO",SADAR THANA MARG,2018
1687,313,DWARKA,279/337 IPC,13-Oct-16,TAXI,TWW,NR DCP OFFICE RED LIGHT SEC-19,MINOR ROADS,2016
2448,313,DWARKA SOUTH,279/337 IPC,02-Oct-18,PVT CAR,TWW,N/R P S DWARAKA ROAD,MINOR ROADS,2018
3237,313,GAJI PUR,279/337 IPC,25-Jul-18,UNKNOWN,PED,GAJI PUR GOL CHAKKAR KE PASS,NH-24,2018
3368,313,GAJI PUR,279/337 IPC,29-Aug-17,CRANE,TWW,CONSTRUCTION OFFICE,MINOR ROADS,2017
3783,313,KALYAN PURI,279/337 IPC,24-Jun-18,PVT CAR,PED,15/494 KALYAN PURI,MINOR ROADS,2018
5425,313,VIVEK VIHAR,279/337 IPC,31-Aug-19,TRACTOR,CYC,"NR GOPAL DAIRY, JHILMIL ROAD",MINOR ROADS,2019
6784,313,CIVIL LINES,279/304 A IPC,29-Jul-20,PVT CAR,CYC,NR SHIV MANDIR MAJJNU KA TILA,OUTER RING ROAD,2020
7019,313,KASHMIRI GATE,279/337 IPC,13-Aug-17,UNKNOWN,PED,ISBT GOL CHAKAR,BULOVARD ROAD,2017
7438,313,KOTWALI,279/337 IPC,02-Oct-19,ERCAW,PED,RED LIGHT CHATTTA RAIL,N.SUBHASH MARG,2019
7815,313,SABZI MANDI,279/337 IPC,03-Nov-18,UNKNOWN,PED,BEHIND SUBZI MANDI RAILWAY STN,MINOR ROADS,2018
7987,313,SARAI ROHILA,279/337 IPC,28-Aug-17,PVT CAR,TWW,DJB OFFICE GULABI BAGH,MINOR ROADS,2017
8174,313,TIMAR PUR,279/337 IPC,10-Jul-16,UNKNOWN,TWW,NR VIRENDER PUBLIC SCH,MINOR ROADS,2016
9420,313,MANSAROVER PARK,279/337 IPC,14-Dec-16,DELIVRY,TWW,AT LONI CUT SHARDRA FLYOVER,MINOR ROADS,2016
10967,313,ADARSH NAGAR,279/337 IPC,15-Aug-17,UNKNOWN,TWW,TWDS MUKUNDPUR TO AZADPUR,MINOR ROADS,2017
11619,313,ASHOK VIHAR,279/337 IPC,05-Aug-17,UNKNOWN,PED,NR RICHI RICH HOTEL,RING ROAD,2017
11689,313,ASHOK VIHAR,279/337 IPC,17-Jul-20,UNKNOWN,TWW,NR GREEN LOUNGE SHALIMAR BAGH,RING ROAD,2020
12554,313,JAHANGIR PURI,279/304 A IPC,01-Jul-20,HTV/GDS,TWW,NEAR BHALSWA CHOWK,OUTER RING ROAD,2020
13220,313,MODEL TOWN,279/337 IPC,29-Aug-18,PVT CAR,TWW,MCD SCHOOL PRIMARY MODELT TOWN,MINOR ROADS,2018
14590,313,SWAROOP NAGAR,279/338 IPC,29-Jun-20,PVT CAR,TWW,NR JAI GAURAV MARRIAGE HALL SW,BURARI ROAD,2020
14762,313,WAZIRABAD,279/304 A IPC,31-Oct-19,UNKNOWN,TWW,NR NALA RD HARDEV NAGAR,OUTER RING ROAD,2019
14798,313,WAZIRABAD,279/337/304 A IPC,10-Aug-20,UNKNOWN,TWW,NR GOPALPUR R/L,OUTER RING ROAD,2020
14829,313,AMAN VIHAR,279/337 IPC,10-Mar-16,PVT CAR,TSR,MAIN MUBARAK PUR RD 70 FT ROAD,MINOR ROADS,2016
15748,313,KANJHAWALA,279/337 IPC,13-Aug-16,PVT CAR,PED,GHEWRA TO KANJWALA ROAD,QUTAB GARH ROAD,2016
18228,313,FATEHPUR BERI,279/337 IPC,18-Jul-17,UNKNOWN,TWW,NR SULTANPUR METRO STN,MEHRAULI GURGAON RD,2017
18568,313,HAUZ KHAS,279/337 IPC,23-Nov-18,UNKNOWN,TWW,PANCHSHEEL FLYOVER TWDS N PLAC,OUTER RING ROAD,2018
18986,313,LAJPAT NAGAR,279/337 IPC,11-Sep-18,UNKNOWN,PED,NR HDFC BANK LAJPAT NAGAR,LALA LAJPAT RAI PATH,2018
20123,313,SAROJNI NAGAR,279/337 IPC,26-Jun-16,PVT CAR,PED,PAKODA MKT GI BLOCK SAROJINI N,BRIG HOSHIAR SINGH ROAD,2016
20230,313,VASANT KUNJ NORTH,279/337 IPC,01-Jun-16,UNKNOWN,PED,OPP CNG PUMP AAA ROAD KISHANGA,ARUNA ASFALI MARG,2016
20381,313,VASANT KUNJ SOUTH,279/337 IPC,18-Apr-16,MIN.BUS,PAS,NR CNG PUMP INF CNT PUMP E-2,MAHIPAL PUR ROAD,2016
21607,313,GOVIND PURI,279/304 A IPC,08-Sep-18,UNKNOWN,PED,N/R FISH MARKET GOVIND PURI,RAVIDASS MARG,2018
22446,313,KALKAJI,279/337/304 A IPC,17-Jul-20,HTV/GDS,TWW,NEHRU PLACE FLYOVER TWDS CHIRA,OUTER RING ROAD,2020
22675,313,NEB SARAI,279/337 IPC,16-Jul-18,TEMPO,SLF,L. FIND SANGAM VIHAR,MINOR ROADS,2018
22765,313,NEW FRIENDS COLONY,279/304 A IPC,01-Oct-17,TEMPO,SLF,T POINT NR GAS GODAM SUKHDEV V,MINOR ROADS,2017
23684,313,SARITA VIHAR,279/337 IPC,26-Sep-18,PVT CAR,PED,MATHURA ROAD I/F ESTATE METRO,MATHURA ROAD,2018
23802,313,SARITA VIHAR,279/304 A IPC,09-Oct-17,UNKNOWN,PED,APOLLO MTRO STN,MATHURA ROAD,2017
24253,313,BABA HARIDAS NAGAR,279/338 IPC,09-Nov-16,PVT CAR,TWW,NARYAL SHOP NJF,JHARODA ROAD,2016
24471,313,BINDA PUR,279/337 IPC,17-May-17,UNKNOWN,PED,EAST UTTAM NAGAR METRO STATION,NAJAF GARH ROAD,2017
27829,313,MOTI NAGAR,279/337 IPC,19-Aug-18,PVT CAR,TWW,MOMENT MALL SHADIPUR,PATEL ROAD,2018
27918,313,MOTI NAGAR,279/337 IPC,15-May-16,BUS OTR,PED,NR GOLE CHAKKAR MOTI NAGAR DEL,NAJAF GARH ROAD,2016
28355,313,NANGLOI,279/337 IPC,10-Jul-16,UNKNOWN,PED,METRO PILLOR NO 438,ROHTAK ROAD,2016
30127,313,RANHOLA,279/337 IPC,27-May-19,TEMPO,TWW,NEAR LAXMI TYRE,MINOR ROADS,2019
30282,313,SAGAR PUR,279/337 IPC,17-Jun-16,PVT CAR,TWW,BACK SIDE OF GANDHI MKT NALA R,MINOR ROADS,2016
30327,313,SAGAR PUR,279/337 IPC,11-Jul-19,S/C&M/C,PED,NR SONIA MOB SHOP,MINOR ROADS,2019
124,314,DARYA GANJ,279/337 IPC,21-Dec-17,DTC BUS,PED,NR SAMTHA STHAL BUS STOOP DARY,JAWAR LAL NEHRU RD,2017
1180,314,DELHI CANNT,279 IPC,01-Nov-16,TAXI,CAR,RTR MARG SUBROTO PARK,RAO TULA RAM MARG,2016
1382,314,DELHI CANNT,279/337 IPC,27-Nov-18,PVT CAR,TWW,DHAULA KUAN,RING ROAD,2018
1620,314,DELHI CANNT,279/304 A IPC,05-Aug-20,UNKNOWN,PED,NEAR TERMINAL -1  AIRPORT,AIR PORT ROAD,2020
3631,314,JAGAT PURI,279/304 A IPC,09-Nov-17,PVT CAR,PED,SUKH VIHAR OP TIKONA PARK PARW,MINOR ROADS,2017
4015,314,LAXMI NAGAR (SHAKAR PUR),279/337 IPC,11-Jul-17,PVT CAR,TWW,NEAR METRO PILLOR NO 51 NEW DE,VIKAS MARG,2017
4218,314,MADHU VIHAR,279/304 A IPC,28-Sep-18,MIN.BUS,PED,I/F MANGLAM HOSPITAL,MINOR ROADS,2018
5075,314,PATPARGANJ IND. AREA,279/337 IPC,03-Nov-20,UNKNOWN,PED,ENTRY GATE ISBT ANAND VIHAR,56 NO ROAD,2020
7215,314,KASHMIRI GATE,279/304 A IPC,10-Oct-18,UNKNOWN,PED,OVER HANUMAN MANDIR FLYOER,RING ROAD,2018
7439,314,KOTWALI,279/337 IPC,03-Oct-19,HTV/GDS,TWW,KHAS CUT RED LIGHT JAMA MASJID,N.SUBHASH MARG,2019
7901,314,SARAI ROHILA,279/337 IPC,01-Apr-16,S/C&M/C,PED,NR HAJI CHICKEN CORNER INDERLO,OLD ROHTAK ROAD,2016
8042,314,SARAI ROHILA,279/337 IPC,15-Aug-18,UNKNOWN,TWW,"NR BANSI WALA PETROL PUMP,",MINOR ROADS,2018
9150,314,KHAZOORI,279/337 IPC,07-Apr-16,PVT CAR,TWW,OPP SONIA VIHAR WATER PLANT,WAZIRABAD ROAD,2016
9363,314,KHAZOORI,279/304 A IPC,06-Apr-20,S/C&M/C,SLF,PUSTA RD BIHARIPR NR 103 BAN R,PUSTA ROAD,2020
9843,314,NEW USHMAN PUR,279/337 IPC,19-May-17,DELIVRY,TWW,4-1/2 PUSTA KHAZOORI TO SHASTR,MINOR ROADS,2017
10917,314,ADARSH NAGAR,279/337 IPC,18-Jul-16,PVT CAR,TWW,SERVICE RD NR SHANTI KUMUD,GTK ROAD,2016
12660,314,JAHANGIR PURI,279/337 IPC,11-Jul-18,HTV/GDS,TAX,R/L MAJLIS METRI STN,MINOR ROADS,2018
13243,314,MODEL TOWN,279/337 IPC,22-Aug-19,PVT CAR,TWW,NR GURU DWARA NANAK PIOU,GTK ROAD,2019
14297,314,SARASWATI VIHAR(SUBHASH PLACE),279/337 IPC,05-Sep-19,TAXI,PED,INF AGARWAL SWEETS SRI NAGAR,ROAD NO 43,2019
14342,314,SHALIMAR BAGH,279/337 IPC,16-Apr-16,PVT CAR,TWW,ON F/O SHALIMAR BAGH RED LIGHT,RING ROAD,2016
14362,314,SHALIMAR BAGH,279/337 IPC,11-Jun-18,UNKNOWN,TWW,NEAR A BLOCK BUS STAND,SHALIMAR BAGH ROAD,2018
14488,314,SWAROOP NAGAR,279/337 IPC,17-Oct-17,UNKNOWN,TWW,LIBASPUR UNDER PASS,MINOR ROADS,2017
14979,314,AMAN VIHAR,279/304 A IPC,13-Jul-20,UNKNOWN,PED,NR GANESH DHARM KANTA,MINOR ROADS,2020
15036,314,BAWANA,279/337 IPC,28-Jul-16,TEMPO,TWW,FACTORY NO G237 SEC3 DSIDC,DSIDC NARELA ROAD,2016
15500,314,BUDH VIHAR,279/304 A IPC,19-Nov-20,UNKNOWN,TWW,OPP CNG PUMP HELIPAD SEC 24 RI,41 NO ROAD,2020
15678,314,KANJHAWALA,279/337 IPC,11-Aug-17,UNKNOWN,TWW,NALA PAA KUTUBGARH TO SOHATI R,QUTAB GARH ROAD,2017
15840,314,KANJHAWALA,279/337/304 A IPC,26-Aug-18,TEMPO,PED,"B BLK MAIN STAND, CLNY SWADA",MINOR ROADS,2018
16688,314,PRASHANT VIHAR,279/337 IPC,29-Nov-20,PVT CAR,TWW,"R/L SEC-9, ROHINI",MINOR ROADS,2020
16705,314,PREM NAGAR,279/304 A IPC,25-Jul-20,S/C&M/C,SLF,BHAGAT SINGH CHOWK,MINOR ROADS,2020
17017,314,ROHINI SOUTH,279/337/304 A IPC,16-Nov-19,PVT CAR,PED,FOOTPATH KALI MATA MANDIR,MINOR ROADS,2019
18490,314,HAUZ KHAS,279/337/338 IPC,08-Sep-17,PVT CAR,TWW,NR PANCHSHEEL OUTER RINGRD,OUTER RING ROAD,2017
18569,314,HAUZ KHAS,279/337 IPC,23-Nov-18,DELIVRY,TAX,NR PANCHSHEEL PARK OUTER IRNG,OUTER RING ROAD,2018
18914,314,KOTLA MUBARAK PUR,279/337 IPC,18-Oct-19,PVT CAR,CAR,NR ARYA SAMAJ MANDIR R/L,MINOR ROADS,2019
18966,314,LAJPAT NAGAR,279/337/304 A IPC,09-Jul-17,PVT CAR,TWW,BRT RD NR D.COLONY F/O,LALA LAJPAT RAI PATH,2017
19512,314,NEB SARAI,279/338 IPC,09-Sep-19,TEMPO,TWW,NR Z MORE IGNOU RD,MINOR ROADS,2019
20845,314,AMAR COLONY,279/304 A IPC,05-Aug-17,S/C&M/C,TWW,SANT NAGAR EOK NEW DELHI,LAL BHADUR S.MARG,2017
22264,314,KALINDI KUNJ,279/337 IPC,16-Aug-19,PVT CAR,CAR,YAMUNA FLYOVER TOLL TAX,13A NO ROAD,2019
23128,314,OKHLA,279/337 IPC,13-Sep-19,S/C&M/C,PED,BUS STAND GOVINDPURI METRO ST,ANAND MAI MARG,2019
23488,314,SANGAM VIHAR,279/337 IPC,08-Aug-18,TSR,PED,BUS STAND SANGAM VIHAR,MEHRAULI BADARPUR RD,2018
23685,314,SARITA VIHAR,279/337 IPC,27-Sep-18,UNKNOWN,PED,ROAD NO. 13A I/F JASOLA MALL N,13A NO ROAD,2018
24179,314,SUNLIGHT COLONY,279/337/304 A IPC,26-Sep-20,UNKNOWN,TWW,TWDS AKSHARDHAM SARAI KALE KHA,RING ROAD,2020
24709,314,CHHAWALA,279/337 IPC,14-Aug-18,PVT CAR,TWW,KAPSHERA NAJAFGARH ROAD,CHHAWLA ROAD,2018
25108,314,KAPASHERA,279/337 IPC,27-Oct-16,MIN.BUS,TWW,INF FUN FOOD KAPASHERA,MINOR ROADS,2016
25337,314,KAPASHERA,279/304 A IPC,28-Jun-20,UNKNOWN,PED,INF RELAXO SHOWROOM NR MUDHAL,OLD GURGAON ROAD,2020
26349,314,VIKAS PURI,279/337 IPC,31-Jul-19,PVT CAR,TWW,NR KESHOPUR VILL,MINOR ROADS,2019
27158,314,JANAK PURI,279/304 A IPC,30-Jul-17,S/C&M/C,SLF,C-3 JANAK PURI NR DABRI F/O,PANKHA ROAD,2017
27707,314,MIANWALI,279/338 IPC,19-Jul-16,PVT CAR,PED,GH10 MKT PHOOTPATH PASCHIM VIH,OUTER RING ROAD,2016
27919,314,MOTI NAGAR,279/337 IPC,16-May-16,PVT CAR,DLV,OPP KHETAR PAL HSPITAL DELHI,NAJAF GARH ROAD,2016
28088,314,MUNDKA,279/337 IPC,23-Nov-17,UNKNOWN,TWW,NR DDA FLATS BAKARWALA,MINOR ROADS,2017
28356,314,NANGLOI,279/337 IPC,11-Jul-16,PVT CAR,PED,NANGLOI FLYOVER ALLAHABAD BANK,ROHTAK ROAD,2016
28411,314,NANGLOI,279/337 IPC,30-Jul-17,PVT CAR,PED,NEAR BAJRANG HARDWARE,ROHTAK ROAD,2017
29557,314,PUNJABI BAGH,279/337 IPC,25-Jun-18,UNKNOWN,TWW,PUNJABI BAGH UNDER PASS,ROHTAK ROAD,2018
542,315,I.P. ESTATE,279/304 A IPC,28-Dec-18,UNKNOWN,PED,NR IGI STADIUM RING ROAD,RING ROAD,2018
896,315,PAHAR GANJ,279/337 IPC,25-Oct-17,TSR,PED,R K ASHRAM METRO STADIUM,CHITRA GUPTA ROAD,2017
996,315,PRASHAD NAGAR,279/304 A IPC,07-Dec-20,UNKNOWN,PED,KIKARWALA CHOWK DEV NGR,ARYA SAMAJ ROAD,2020
3369,315,GAJI PUR,279/337 IPC,30-Aug-17,S/C&M/C,SLF,TELCO T POINT RED LIGHT,56 NO ROAD,2017
6655,315,CIVIL LINES,279/337 IPC,10-Nov-17,PVT CAR,TWW,T POINT SOMNATH MARG,SHYAM NATH MARG,2017
7143,315,KASHMIRI GATE,279/337 IPC,06-Nov-19,S/C&M/C,PED,ATM BANK BARODA,LOTHIAN ROAD,2019
8509,315,DAYAL PUR,279/304 A IPC,07-Jun-20,UNKNOWN,ERC,NR MOHAN PLACE TWDS KHAZOORI,WAZIRABAD ROAD,2020
8702,315,GTB ENCLAVE,279/337 IPC,15-Aug-16,UNKNOWN,TWW,NR JHILMIL METRO STATION DELHI,GRANT TRUNK ROAD,2016
8816,315,GTB ENCLAVE,279/337 IPC,11-Jul-19,DELIVRY,PED,NR NANKI GURUDWARA D GARDEN,MINOR ROADS,2019
10494,315,SHASTRI PARK,279/337 IPC,13-Jul-20,UNKNOWN,TWW,SIGNATURE BRIDGE,WAZIRABAD ROAD,2020
12483,315,JAHANGIR PURI,279/304 A IPC,12-Jul-18,BUS OTR,PED,MUKARBA CHOWK RING ROAD,OUTER RING ROAD,2018
12555,315,JAHANGIR PURI,279/337 IPC,04-Jul-20,UNKNOWN,TWW,UNDER BHALSA FLYOVER,DR. KB HEDGEWAR ROAD,2020
14763,315,WAZIRABAD,279/337 IPC,05-Nov-19,UNKNOWN,TWW,UNDER WAZIRABAD FLYOVER,OUTER RING ROAD,2019
16781,315,RANI BAGH,279/337/304 A IPC,10-Sep-17,HTV/GDS,TSR,OPP SHIVA MARKET NR MADHUBAN C,OUTER RING ROAD,2017
18997,315,LAJPAT NAGAR,279/337/304 A IPC,07-Oct-19,UNKNOWN,TWW,NR LAJPAT NAGAR METRO STATION,LALA LAJPAT RAI PATH,2019
20479,315,VASANT KUNJ SOUTH,279/304 A IPC,29-Jun-18,UNKNOWN,CYC,D-3 VASANT KUNJ RED LIGHT,MAHIPAL PUR ROAD,2018
20706,315,VASANT VIHAR,279/337 IPC,22-Jul-17,UNKNOWN,PED,DDA FLATS MUNIRKA,OUTER RING ROAD,2017
23373,315,PUL PRAHLAD PUR,279/337 IPC,23-Nov-16,HTV/GDS,TWW,SURAJ KUND RED LIGHT PUL PRHAL,MEHRAULI BADARPUR RD,2016
23726,315,SARITA VIHAR,279/304 A IPC,22-Aug-19,HTV/GDS,CYC,AALI VILLAGE RED LIGHT SARITA,MATHURA ROAD,2019
23803,315,SARITA VIHAR,279/337 IPC,11-Oct-17,BUS O S,CYC,INFT SARITA VIHAR POLICE STN,MATHURA ROAD,2017
23920,315,SUNLIGHT COLONY,279/304 A IPC,10-Jul-16,HTV/GDS,PED,IP PARK GATE NO 1 SARAI KALE K,RING ROAD,2016
24254,315,BABA HARIDAS NAGAR,279/337 IPC,11-Nov-16,S/C&M/C,TWW,DHASA ROAD,DANSHA ROAD,2016
24839,315,DWARKA,279/337 IPC,13-Oct-16,PVT CAR,CYR,NR BLUR DART WAREHOUSE BAMNOLI,MINOR ROADS,2016
24855,315,DWARKA,279/337 IPC,25-Nov-18,UNKNOWN,PED,NR TREE DWARKA NAJAFGARH RD,CHHAWLA ROAD,2018
25984,315,VASANT KUNJ SOUTH,279/337 IPC,18-Apr-16,UNKNOWN,TSR,INF SHIV MURTI NH 8,NH-8,2016
26055,315,VASANT KUNJ SOUTH,279/337 IPC,21-Jun-19,PVT CAR,PED,R/A RAJAUKARI  FLYOVER,NH-8,2019
26798,315,HARI NAGAR,279/337 IPC,31-Jul-17,PVT CAR,PED,NR DTC DEPOT ENERGY GYM BF NAG,MINOR ROADS,2017
26832,315,HARI NAGAR,279/337 IPC,07-Jul-19,S/C&M/C,PED,BUS STAND SAGARPUR,PANKHA ROAD,2019
26844,315,HARI NAGAR,279/337 IPC,28-Apr-20,PVT CAR,TWW,RED LIGHT DTC DEPOT HARI NAGAR,MINOR ROADS,2020
27684,315,MIANWALI,279/337 IPC,20-Aug-18,PVT CAR,PED,NR BIKANER SHOP PEERAGARHI CHO,ROHTAK ROAD,2018
29359,315,PUNJABI BAGH,279/337 IPC,27-Apr-16,UNKNOWN,TWW,PUNJABI BAGH FLYOVER,RING ROAD,2016
16,316,ANAND PARBAT,279/337 IPC,15-Dec-18,DTC BUS,PAS,INDUSTRIAL AREA ANAND PARBATH,NEW ROHTAK ROAD,2018
55,316,DARYA GANJ,279/337 IPC,10-Aug-16,PVT CAR,PED,INFT AXIS BANK,N.SUBHASH MARG,2016
1278,316,DELHI CANNT,279/304 A IPC,21-Dec-17,S/C&M/C,SLF,SAGARPUR FLYOVER NR BUS STOP,MINOR ROADS,2017
1484,316,DELHI CANNT,279/338 IPC,29-Dec-19,PVT CAR,TWW,THIMAYA PARK RED LIGHT,STATION ROAD,2019
2703,316,VASANT KUNJ NORTH,279/337 IPC,13-Jun-17,BUS OTR,PED,MAHIPALPUR NH-8,NH-8,2017
2864,316,ANAND VIHAR,279/337 IPC,30-Jun-16,UNKNOWN,PED,NR SURAJMAL AUTHORITY ANAND VI,MINOR ROADS,2016
3310,316,GAJI PUR,279/338 IPC,17-Aug-20,PVT CAR,TWW,NR CNG PUMP GAJIPUR,NH-24,2020
3608,316,JAGAT PURI,279/337 IPC,11-Oct-16,S/C&M/C,PED,NR RED LIGHT JAGAT PURI NEW DE,57 NO ROAD,2016
3902,316,KRISHNA NAGAR,279/337 IPC,30-Dec-18,TEMPO,TWW,"NR BIKANER SWWETS, RED LIGHT",ROAD NO 57,2018
4135,316,MADHU VIHAR,279/304 A IPC,27-May-16,HTV/GDS,TWW,OPP HASANPUR VILLAGE NR INDAST,57 NO ROAD,2016
5382,316,VIVEK VIHAR,279/337 IPC,21-Jun-18,PVT CAR,HDC,INF GINGER HOTEL VIVEK VIHAR,MAHARAJA SURAJMAL ROAD,2018
8104,316,SARAI ROHILA,279/337 IPC,13-Oct-19,UNKNOWN,TWW,OPP SBI BANK PADAM NAGAR,OLD ROHTAK ROAD,2019
8175,316,TIMAR PUR,279/304 A IPC,13-Jul-16,DTC BUS,PED,YAMUNA BRIDGE MORE GANDA NALA,WAZIRABAD ROAD,2016
8500,316,DAYAL PUR,279/337 IPC,09-Aug-19,BUS OTR,TWW,YAMUNA VIHAR U TRUN WAZIRABAD,WAZIRABAD ROAD,2019
8703,316,GTB ENCLAVE,279/337 IPC,16-Aug-16,PVT CAR,TWW,OPP GATE NO 1 JHILMIL METRO ST,MINOR ROADS,2016
9650,316,NAND NAGRI,279/304 A IPC,06-Jun-19,DTC BUS,MBS,NR NAND NAGRI BUS DEPO,WAZIRABAD ROAD,2019
10550,316,SHASTRI PARK,279/337 IPC,26-Jun-19,UNKNOWN,PED,NR GAS AGENCY SHASTRI PARK,MINOR ROADS,2019
10592,316,SHASTRI PARK,279/304 A IPC,29-Jun-20,UNKNOWN,PED,R/L SHASTRI PARK TO DHARMPURA,GRANT TRUNK ROAD,2020
10968,316,ADARSH NAGAR,279/337 IPC,18-Aug-17,PVT CAR,TWW,INFT PAWAN ACHAR KEWAL PARK,MINOR ROADS,2017
11690,316,ASHOK VIHAR,279/337 IPC,19-Jul-20,PVT CAR,ERC,NR PATROL PUMP ASHOK VIHAR,MINOR ROADS,2020
12222,316,BURARI,279/337 IPC,08-Jul-18,PVT CAR,TWW,NEAR BURARI FLYOVER BURARI,BURARI ROAD,2018
12526,316,JAHANGIR PURI,279/337/304 A IPC,09-Jul-19,UNKNOWN,TSR,UNDER BHALSWA CHOWK FLYOVER,OUTER RING ROAD,2019
12590,316,JAHANGIR PURI,279/337 IPC,26-May-16,UNKNOWN,PED,NR TSR STAND JAHANGIR PURI,MINOR ROADS,2016
14155,316,SARASWATI VIHAR(SUBHASH PLACE),279/337 IPC,24-Apr-16,S/C&M/C,PED,MAHENDRA PARK BUS STAND RAJDHA,MINOR ROADS,2016
14298,316,SARASWATI VIHAR(SUBHASH PLACE),279/337 IPC,06-Sep-19,DTC BUS,TWW,NR PARSHU RAMBRITANIA CHOWK RD,ROAD NO 43,2019
14872,316,AMAN VIHAR,279/337 IPC,24-Mar-17,TSR,TWW,SEC-20 ROHINI CHOWK,MINOR ROADS,2017
16333,316,MAURYA ENCLAVE,279/337 IPC,30-Jul-17,HTV/GDS,CAR,UNDERPASS M CHOWK,OUTER RING ROAD,2017
17379,316,SHAHBAD DAIRY,279/304 A IPC,03-Jun-18,TEMPO,PED,HOLAMBI KHURD FATAK DELHI,HOLAMBI ROAD,2018
19673,316,R.K. PURAM,279/337 IPC,08-Sep-18,UNKNOWN,PED,NR CGHS DISPESARY SEC 4 RKPURA,MINOR ROADS,2018
21093,316,BADAR PUR,279/337 IPC,01-Aug-18,S/C&M/C,PED,ONIDA FACTORY,MATHURA ROAD,2018
21178,316,BADAR PUR,279/337 IPC,29-Jul-20,TRL/CON,CAR,NR AALI RED LIGHT MATHURA ROAD,MATHURA ROAD,2020
22653,316,NEB SARAI,279/337 IPC,07-Apr-16,TRACTOR,PED,DEVLI KHANPUR RD BIJLI KI DUKA,MINOR ROADS,2016
22719,316,NEW FRIENDS COLONY,279/337 IPC,03-Sep-16,PVT CAR,SLF,ACCIDENT-28 NEW FRIENDS COLONY,MINOR ROADS,2016
23217,316,PUL PRAHLAD PUR,279/337 IPC,24-Nov-16,UNKNOWN,PED,NR RAILWAY BRIDGE,MEHRAULI BADARPUR RD,2016
23637,316,SARITA VIHAR,279/337 IPC,11-Oct-17,PVT CAR,TSR,KALINDI KUNJ TWDS OKHALA,13A NO ROAD,2017
24069,316,SUNLIGHT COLONY,279/304 A IPC,16-Oct-18,DTC BUS,PED,MAHARANI BAG BUS STAND,RING ROAD,2018
25109,316,KAPASHERA,279/337 IPC,29-Oct-16,MIN.BUS,PED,NR JENIOUS TOWER KAPASHERA,SAMALKA ROAD,2016
26882,316,HARI NAGAR,279/337 IPC,19-Jul-18,UNKNOWN,PED,HARI NAGAR DELHI,MINOR ROADS,2018
30328,316,SAGAR PUR,279/337 IPC,12-Jul-19,UNKNOWN,PED,NR SAKUNTALA HOSP GANDA NALA,MINOR ROADS,2019
1181,317,DELHI CANNT,279/304 A IPC,12-Nov-16,DELIVRY,TWW,NR THOMAS RED LIGHT,STATION ROAD,2016
1529,317,DELHI CANNT,279/337 IPC,07-Aug-20,UNKNOWN,PED,DHAULA KUAN NEW DELHI,NH-8,2020
1591,317,DELHI CANNT,279/337 IPC,22-Dec-17,TSR,CAR,SANKAR VIHAR NH-8,NH-8,2017
1958,317,DWARKA NORTH,279/337 IPC,22-Jun-16,UNKNOWN,TWW,SEC 14 NR M/STN CHEMBRY TO SEC,MINOR ROADS,2016
2534,317,DWARKA SOUTH,279/337 IPC,07-Aug-20,UNKNOWN,PED,OPP MANIPAL HOSPITAL,201 NO.ROAD,2020
2691,317,VASANT KUNJ NORTH,279/337 IPC,04-Jun-16,PVT CAR,TWW,MAHIPAL PUR FLYOVER CARRAGE WA,NH-8,2016
3370,317,GAJI PUR,279/337/304 A IPC,31-Aug-17,S/C&M/C,TWW,INF COMPENTENT MOTORS 66 FOOTA,MINOR ROADS,2017
3806,317,KALYAN PURI,279/337/304 A IPC,29-Jun-19,TANKER,MBS,NR EAST VINOD NGR P PUMP NH 24,NH-24,2019
4016,317,LAXMI NAGAR (SHAKAR PUR),279/337 IPC,13-Jul-17,PVT CAR,TWW,TWS GEETA COLONY SIDE F/O KE N,VIKAS MARG,2017
4136,317,MADHU VIHAR,279/337 IPC,28-May-16,S/C&M/C,PED,OPP BADRI NATH MANDIR WST VINO,MINOR ROADS,2016
4335,317,MADHU VIHAR,279/304 A IPC,01-Oct-18,BUS O S,PED,PURANA BUS COUNTER ANAND VHR,MINOR ROADS,2018
4662,317,NEW ASHOK NAGAR,279/338 IPC,27-Jun-17,PVT CAR,TWW,T POINT NR PETROL PUMP,MINOR ROADS,2017
5779,317,DELHI CANNT,279/304 A IPC,02-Dec-18,PVT CAR,PED,NR D PART II GATE RIDGE ROAD,RIDGE ROAD,2018
6813,317,CIVIL LINES,279/337 IPC,11-Nov-17,S/C&M/C,PED,INF GATE NO 1 TIS HAZARI COURT,BULOVARD ROAD,2017
7087,317,KASHMIRI GATE,279/304 A IPC,13-Oct-18,BUS O S,PAS,"GALI NO 3, METRO STN KASHMIRI",BULOVARD ROAD,2018
7797,317,SABZI MANDI,279/337 IPC,06-Dec-17,BUS OTR,PED,OPP ST STAFAUHOSPITAL KHANNA M,MINOR ROADS,2017
7867,317,SADAR BAZAR,279/337 IPC,22-Dec-17,ERCAW,TWW,NR MOTHER DAIRY BOOTH SADAR BA,MINOR ROADS,2017
