SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
27813,52,MOTI NAGAR,279/337 IPC,22-Feb-18,S/C&M/C,TWW,UNDER JAKHIRA FLYOVER,NEW ROHTAK ROAD,2018
28680,52,NARAINA,279/304 A IPC,08-Mar-19,UNKNOWN,TWW,NR DELHI CANT METRO STATION,RING ROAD,2019
29523,52,PUNJABI BAGH,279/304 A IPC,02-Feb-18,UNKNOWN,PED,NR CNG PUMP,RING ROAD,2018
30312,52,SAGAR PUR,279/337 IPC,09-Mar-18,UNKNOWN,PED,NR IN GALI DD HOUSE KAILASH PU,MINOR ROADS,2018
822,53,NABI KARIM,279/304 A IPC,22-Feb-17,TEMPO,TSR,INF BANK OF BARODA PHAR GANJ C,DESH BANDU GUPTA RD,2017
987,53,PRASHAD NAGAR,279/337 IPC,21-Feb-19,TEMPO,PED,NR SARSAWATI MARG CROSSING,MINOR ROADS,2019
1082,53,DELHI CANNT,279/337/338 IPC,15-Feb-16,PVT CAR,TWW,NR AIRFORCE AUDITORIUM SERVICE,MINOR ROADS,2016
1301,53,DELHI CANNT,279/337 IPC,23-Mar-18,UNKNOWN,PED,UNKOWN DELHI CANTT,MINOR ROADS,2018
1403,53,DELHI CANNT,279/337 IPC,07-Feb-19,PVT CAR,TWW,UNDERPASS MOTI BAGH TO NARAINA,RING ROAD,2019
1505,53,DELHI CANNT,279/338 IPC,27-Feb-20,MILITRY,TWW,THIMYAA PARK RED LIGHT STATION,STATION ROAD,2020
1921,53,DWARKA NORTH,279/304 A IPC,26-Jan-16,UNKNOWN,PED,NR SEC-13 METRO STATION,MINOR ROADS,2016
2122,53,DWARKA NORTH,279/337 IPC,03-Feb-19,PVT CAR,TWW,"SEC-14, DWARKA, INF KOTILYA AP",MINOR ROADS,2019
2406,53,DWARKA SOUTH,279/304 A IPC,08-Mar-18,TAXI,PED,SEC 6 PLAT NO 11 DWARKA,201 NO.ROAD,2018
3003,53,ANAND VIHAR,279/337 IPC,05-Feb-20,PVT CAR,TWW,NEAR DAV SCHOOL ANAND VIHAR,MINOR ROADS,2020
3575,53,GEETA COLONY,279/304 A IPC,15-Feb-20,S/C&M/C,SLF,NR RANI GARDEN CUT GEETA COLON,MINOR ROADS,2020
3672,53,JAGAT PURI,279/304 A IPC,25-Mar-19,UNKNOWN,TWW,KKD MORE TWDS NR JAGAT PURI RE,ROAD NO 57,2019
3890,53,KRISHNA NAGAR,279/304 A IPC,24-Feb-18,UNKNOWN,PED,INF BUS STAND BIHARI COLONY,ROAD NO 57,2018
3986,53,LAXMI NAGAR (SHAKAR PUR),279/337/338 IPC,31-Jan-17,PVT CAR,TWW,PUSTA RD TO GEETA CLY FOB,YAMUNA PUSTA ROAD,2017
