FIR.No.,PS_Name,Date.of.crash,Victim_user_type,Responsible.road.user
399,SONIA VIHAR,25-Dec-20,Self,Unknown
10,ADARSH NAGAR,07-Jan-20,MTW,MTW
101,ADARSH NAGAR,10-Mar-20,Pedestrian,Unknown
104,ADARSH NAGAR,12-Mar-20,Bicycle,Car
405,ADARSH NAGAR,02-May-20,Pedestrian,M3W
483,ADARSH NAGAR,13-Jun-20,MTW,Unknown
495,ADARSH NAGAR,18-Jun-20,Pedestrian,MTW
585,ADARSH NAGAR,10-Aug-20,Car,Car
634,ADARSH NAGAR,17-Sep-20,MTW,Car
684,ADARSH NAGAR,15-Oct-20,Pedestrian,Unknown
778,ADARSH NAGAR,29-Nov-20,Self,Unknown
266,ALIPUR,09-Jun-20,MTW,Truck/Tractor
415,ALIPUR,01-Sep-20,Pedestrian,Truck/Tractor
438,ALIPUR,24-Sep-20,MTW,Unknown
439,ALIPUR,24-Sep-20,Pedestrian,MTW
516,ALIPUR,01-Nov-20,MTW,Truck/Tractor
18,ALIPUR,17-Jan-20,Pedestrian,Car
23,ALIPUR,21-Jan-20,MTW,Unknown
25,ALIPUR,22-Jan-20,Pedestrian,Unknown
63,ALIPUR,07-Mar-20,MTW,Unknown
138,ALIPUR,07-Apr-20,Pedestrian,Unknown
193,ALIPUR,25-Apr-20,Self,Unknown
216,ALIPUR,10-May-20,MTW,MTW
271,ALIPUR,20-Jun-20,Pedestrian,Unknown
296,ALIPUR,10-Jul-20,MTW,Car
362,ALIPUR,02-Aug-20,Pedestrian,Unknown
474,ALIPUR,11-Oct-20,MTW,Truck/Tractor
484,ALIPUR,14-Oct-20,Pedestrian,Car
499,ALIPUR,20-Oct-20,MTW,Bus
1,ASHOK VIHAR,01-Jan-20,Pedestrian,Car
68,ASHOK VIHAR,16-Mar-20,MTW,Car
289,ASHOK VIHAR,01-Jul-20,MTW,Car
62,BHALASWA DAIRY,26-Jan-20,Pedestrian,Truck/Tractor
396,BHALASWA DAIRY,04-Jul-20,Self,Truck/Tractor
481,BHALASWA DAIRY,09-Aug-20,MTW,Truck/Tractor
563,BHALASWA DAIRY,27-Sep-20,Pedestrian,MTW
670,BHALASWA DAIRY,03-Dec-20,MTW,Unknown
380,BHARAT NAGAR,14-May-20,Pedestrian,Unknown
422,BHARAT NAGAR,26-Jun-20,MTW,Unknown
12,BURARI,06-Jan-20,Truck/Tractor,Unknown
86,BURARI,14-Feb-20,Other,Truck/Tractor
217,BURARI,18-May-20,Other,M3W
217,BURARI,18-May-20,Other,M3W
665,BURARI,08-Dec-20,MTW,Unknown
670,BURARI,10-Dec-20,Pedestrian,Unknown
51,JAHANGIR PURI,02-Feb-20,MTW,Unknown
74,JAHANGIR PURI,22-Feb-20,Pedestrian,Truck/Tractor
90,JAHANGIR PURI,08-Mar-20,MTW,Truck/Tractor
313,JAHANGIR PURI,01-Jul-20,Pedestrian,Truck/Tractor
341,JAHANGIR PURI,04-Jul-20,MTW,Unknown
342,JAHANGIR PURI,19-Jul-20,,Unknown
342,JAHANGIR PURI,19-Jul-20,,Unknown
