S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
39,60,DELHI CANNT,07-Mar-20,21:02,UNKNOWN,TWW,0,0,0,1,,0,0,38,Male,Driver,,,,,,,,,INF PP SUBRATO PARK,NH-8,28.575036,77.147128,0,1,Hit and run
40,64,DELHI CANNT,10-Mar-20,23:10,UNKNOWN,TWW,0,0,0,1,,0,0,25,Male,Driver,,,,,,,,,"NR PEER BABA MAJAR, PANKHA RD",MINOR ROADS,28.604497,77.113883,0,1,Hit and run
41,205,DELHI CANNT,15-Apr-20,09:00,UNKNOWN,TWW,0,0,0,1,,0,0,24,Male,Driver,,,,,,,,,NR SUPPLY DEPOT BUS STAND,STATION ROAD,28.606717,77.123297,0,1,Hit and run
42,251,DELHI CANNT,26-May-20,22:26,Heavy vehicles,TWW,0,0,0,1,,0,0,38,Male,Driver,,,,,,,,,NR MANEKSHA CENTER HAULA KUAN,NH-8,28.586714,77.147431,0,1,
43,265,DELHI CANNT,09-Jun-20,11:10,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,55,Female,Self,,,,,,,,,DHAULA KUAN SADAR BAZAR FLY,BRIJLAL DUA MARG,28.596535,77.144879,0,1,
44,306,DELHI CANNT,01-Aug-20,16:25,Other,TWW,0,1,0,0,,0,0,33,Male,Pedestrian,,,,,,,,,MT SECTION PARADE ROAD,PRADE ROAD,28.585341,77.126747,0,1,
45,347,DELHI CANNT,29-Aug-20,22:30,UNKNOWN,TWW,0,0,0,1,,0,0,48,Male,Driver,,,,,,,,,NR NDPL OFFICE DHAULA KUAN,RING ROAD,28.578204,77.176193,0,1,Hit and run
46,368,DELHI CANNT,15-Sep-20,17:11,Heavy vehicles,Car,0,0,0,1,,0,0,49,Male,Driver,,,,,,,,,UNDER FLYOVER RING RD TWDS MOT,RING ROAD,28.587933,77.170527,0,1,
47,369,DELHI CANNT,15-Sep-20,00:10,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,SHANKAR VIHAR OPP PHILOURA DWA,NH-8,28.562338,77.134035,0,1,Hit and run
48,381,DELHI CANNT,18-Sep-20,15:20,Car/ Jeep/ Van/ Taxi,TWW,0,1,0,0,,0,0,60,Male,Pedestrian,,,,,,,,,NH 8 APS COLONY NR SUBWAY,NH-8,28.574473,77.141765,0,1,Hit and run
49,405,DELHI CANNT,02-Oct-20,20:00,Motorised two wheeler,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,PARED GROUND GATE N O2 DELHI C,PRADE ROAD,28.57877,77.129193,0,1,
50,413,DELHI CANNT,09-Oct-20,22:05,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,24,Male,Driver,,,,,,,,Male,NR GOLF CLUB GATE STATION ROAD,STATION ROAD,28.592363,77.159582,0,1,
51,425,DELHI CANNT,21-Oct-20,17:30,UNKNOWN,Car,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,FLYOVER NH-8 SANJAY T POINT,NH-8,28.574498,77.141989,0,1,Hit and run
52,437,DELHI CANNT,01-Nov-20,00:05,Heavy vehicles,TWW,0,0,0,0,Car/ Jeep/ Van/ Taxi,3,2,35,Male,Driver,38,Male,Passenger,,,,,Male,RING ROAD GUDGAON LOOP,RING ROAD,28.593708,77.16511,3,2,
53,473,DELHI CANNT,19-Nov-20,03:30,UNKNOWN,TSR,0,0,1,1,,0,0,29,Male,Driver,,,,,,,,,THIMAYA CHOWK RED LIGHT,STATION ROAD,28.602239,77.134565,1,1,Hit and run
54,489,DELHI CANNT,19-Dec-20,17:00,UNKNOWN,TWW,0,0,0,0,Auto-rickshaw,0,1,38,Male,Driver,,,,,,,,,SANJAY T POINT TWDS DWARKA FLY,NH-8,28.574498,77.141989,0,1,Hit and run
55,500,DELHI CANNT,28-Dec-20,15:00,Bus,HTV,0,0,0,1,,0,0,,Male,Driver,,,,,,,30,Male,NR PETROL PUMP DHAULA KUAN,NH-8,28.590029,77.156348,0,1,
56,50,DELHI CANNT,25-Feb-20,04:00,Bus,Self,0,0,0,0,Heavy vehicles,0,1,,Male,Driver,,,,,,,,Male,NR FOB SHANKAR VIHAR,NH-8,28.566509,77.134038,0,1,
57,70,DELHI CANNT,20-Mar-20,23:00,Motorised two wheeler,TWW,0,0,0,1,,0,0,40,Male,Self,,,,,,,,,U TURN FLYOVER TWDS T-1 DELHI,NH-8,28.567421,77.133685,0,1,
58,157,DELHI CANNT,05-Apr-20,23:00,UNKNOWN,Self,0,0,1,1,,0,0,27,Male,Driver,,,,,,,,,SHANKAR VIHAR GURGAON JANE WAL,NH-8,28.571421,77.13581,1,1,Hit and run
59,166,DELHI CANNT,07-Apr-20,14:58,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,24,Male,Self,,,,,,,,,IN MID U TURN OVER NH-8 TWDS T,NH-8,28.567421,77.133685,0,1,
60,314,DELHI CANNT,02-Aug-20,18:45,UNKNOWN,TWW,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NEAR TERMINAL -1 AIRPORT,AIR PORT ROAD,28.566271,77.122309,0,1,Hit and run
61,340,DELHI CANNT,22-Aug-20,07:50,UNKNOWN,TWW,0,0,1,1,,0,0,,Male,Driver,,,,,,,,,DEHULAKUVA TO AIRPORT ROAD,NH-8,28.571307,77.135953,1,1,Hit and run
62,348,DELHI CANNT,17-Aug-20,15:50,Car/ Jeep/ Van/ Taxi,Self,0,0,1,1,,0,0,59,Male,Passenger,,,,,,,,,NR MEHARU NAGAR,MINOR ROADS,28.567223,77.128076,1,1,
63,43,DWARKA,23-Jan-20,03:40,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,23,Male,Driver,,,,,,,23,Male,"NR CNG PUMP, POCHANPUR",MINOR ROADS,28.565648,77.052412,0,1,
64,263,DWARKA,11-Jun-20,16:00,UNKNOWN,Self,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,MAIN RD SEC-22 RED LIGHT,201 NO.ROAD,28.550222,77.054682,0,1,Hit and run
65,376,DWARKA,27-Aug-20,23:40,Car/ Jeep/ Van/ Taxi,Cyclists,0,0,0,0,Car/ Jeep/ Van/ Taxi,2,1,11,Male,Passenger,,,,,,,37,Male,SUBHAM APARTMENT SEC 22 DWARKA,MINOR ROADS,28.558957,77.054566,2,1,
66,432,DWARKA,31-Oct-20,13:00,Motorised two wheeler,ERC,0,0,0,0,Bicycle,0,1,40,Male,Cyclist,,,,,,,,,INF SEC 19 DWARKA POCKET 2,MINOR ROADS,28.580157,77.048965,0,1,
