S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
593,94,KANJHAWALA,10-Mar-20,16:30,UNKNOWN,TWW,0,0,1,1,,0,0,25,Male,Passenger,,,,,,,40,Male,"NR PULIA VILL NIZAMPUR,KANJHAW",MINOR ROADS,28.687994,76.964897,1,1,drink driving
594,97,KANJHAWALA,12-Mar-20,09:00,Tempo/ Tractor,Self,0,0,0,0,Tempo/ Tractor,13,1,,,,,,,,,,,Male,NR SHIVSHAKTI FARAM HOUSE,MINOR ROADS,28.72884,77.045255,13,2,speeding
595,113,KANJHAWALA,23-Mar-20,21:00,UNKNOWN,Car,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,32,Male,Driver,,,,,,,32,Male,NR UNDER PASS TWDS RANI KHERA,MINOR ROADS,28.688854,77.025149,0,1,unknown
596,177,KANJHAWALA,19-May-20,22:00,UNKNOWN,TWW,0,0,0,1,,0,0,50,Male,Driver,,,,,,,,,NR SHKUNTALA FARM HOUSE,MINOR ROADS,28.859134,77.133062,0,1,Hit and run
597,238,KANJHAWALA,10-Jul-20,06:30,UNKNOWN,ERC,0,0,0,0,Auto-rickshaw,0,1,32,Male,Driver,,,,,,,,,NR SHILPA GAS AGENCY KARALA VI,MINOR ROADS,28.727139,77.050811,0,1,Hit and run
598,242,KANJHAWALA,14-Jul-20,00:00,UNKNOWN,TWW,0,0,0,1,,0,0,33,Male,Driver,,,,,,,,,MAIN KANJHAWALA QUTUB GARH,KANJHAWALA ROAD,28.740118,76.995477,0,1,Hit and run
599,287,KANJHAWALA,05-Aug-20,06:50,UNKNOWN,TWW,0,0,0,2,,0,0,32,Male,Driver,22,Male,Passenger,,,,,,KANJHAWLA GHEWARA RD,KANJHAWALA ROAD,28.72888,77.001996,0,2,Hit and run
600,342,KANJHAWALA,18-Sep-20,17:33,UNKNOWN,Pedestrians,0,1,0,0,,0,0,23,Male,Pedestrian,,,,,,,,,NEAR RED LIGHT KANJHWALA,MINOR ROADS,28.737751,77.007382,0,1,Hit and run
601,344,KANJHAWALA,19-Sep-20,10:30,UNKNOWN,Pedestrians,0,0,1,1,,0,0,60,Female,Passenger,,,,,,,,,NEAR VIVEKANAND PUBLIC SCHOOL,MINOR ROADS,28.73311,77.004158,1,1,Hit and run
602,384,KANJHAWALA,25-Oct-20,08:30,Motorised two wheeler,Pedestrians,0,0,1,1,,0,0,60,Female,Driver,,,,,,,,,KANJAWAL TO BAWANA RD,KANJHAWALA ROAD,28.740144,77.009421,1,1,head-on-collision
603,432,KANJHAWALA,12-Dec-20,07:30,UNKNOWN,Pedestrians,0,0,1,1,,0,0,39,Female,Self,,,,,,,,,NR MANDIR TAU BIHARI MG LADPUR,MINOR ROADS,28.736994,76.999682,1,1,Hit and run
604,436,KANJHAWALA,20-Dec-20,18:52,UNKNOWN,TWW,0,0,2,1,,0,0,30,Male,Passenger,,,,,,,21,Male,B/W ELECTRIC POLE HT533-50/15,MINOR ROADS,28.701662,76.94371,2,1,head-on-collision
605,33,MANGOL PURI,10-Jan-20,01:36,UNKNOWN,Car,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,,Male,Driver,,,,,,,,,MANGOLPURI FLYOVER IOCL P PUM,OUTER RING ROAD,28.689925,77.096895,0,1,Hit and run
606,45,MANGOL PURI,12-Jan-20,22:55,UNKNOWN,TWW,0,0,1,1,,0,0,,Male,Driver,,,,,,,,,"A-26 SHOP, PATHAR MKT",KANJHAWALA ROAD,28.693118,77.100375,1,1,Hit and run
607,179,MANGOL PURI,05-Mar-20,22:30,UNKNOWN,TWW,0,0,0,1,,0,0,25,Male,Driver,,,,,,,,,INF K BLOCK SCHOOL MANGOLPURI,MINOR ROADS,28.696702,77.087768,0,1,Hit and run
608,526,MANGOL PURI,12-May-20,20:00,Tempo/ Tractor,Pedestrians,0,2,0,0,,0,0,,Male,Pedestrian,,Male,Pedestrian,,,,,Male,PEERA GARHI FLYOVER,OUTER RING ROAD,28.683488,77.095179,0,2,speeding temp truck
609,664,MANGOL PURI,23-Jul-20,Unknown,Heavy vehicles,TWW,0,0,0,1,,0,0,,,,,,,,,,,,MANGOLPURI FLYOVER,MINOR ROADS,28.691051,77.09754,0,1,
610,673,MANGOL PURI,27-Jul-20,01:30,Tempo/ Tractor,TMP,0,1,0,0,,,,34,Male,Pedestrian,,,,,,,,Male,INF PITAMPURA POLICE LINE,OUTER RING ROAD,28.694172,77.105488,0,1,speeding temp/tractor
611,885,MANGOL PURI,30-Oct-20,23:30,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,20,Male,Pedestrian,,,,,,,,,INF ROYALENFIELD SHOWROOM MGP,MINOR ROADS,28.698438,77.12128,0,1,Hit and run
612,926,MANGOL PURI,11-Nov-20,04:50,UNKNOWN,TWW,0,0,1,1,,0,0,45,Male,Passenger,,,,,,,,,PEERAGARHI FLYOVER MANGOLPURI,DR. KB HEDGEWAR ROAD,28.683495,77.095399,1,1,Hit and run
613,1101,MANGOL PURI,21-Dec-20,23:30,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,Male,MADHUBAN CHOWK TO PEERA GARHI,OUTER RING ROAD,28.673376,77.09351,0,1,rash and negligent driving
614,1111,MANGOL PURI,25-Dec-20,09:00,Motorised two wheeler,TWW,0,0,2,1,,0,0,30,Male,Driver,,,,,,,,,NR T POINT PITAMPURA POLICE LI,43 NO ROAD,28.69402,77.107058,2,1,rash driving
615,290,MAURYA ENCLAVE,06-Aug-20,12:08,UNKNOWN,TWW,0,0,0,1,,0,0,55,Male,Driver,,,,,,,,,NOTARY OFFICE PITAMPURA,OUTER RING ROAD,28.713921,77.138648,0,1,Hit and run
616,305,MAURYA ENCLAVE,17-Aug-20,12:16,Motorised two wheeler,Pedestrians,0,0,1,1,,0,0,,,,,,,,,,40,Female,NR VIPS COLLEGE OUTER RING RD,OUTER RING ROAD,28.720597,77.140607,1,1,rash driving
617,362,MAURYA ENCLAVE,03-Oct-20,11:54,UNKNOWN,Pedestrians,0,0,0,1,,0,0,54,Male,Driver,,,,,,,,,INF ROHINI COURT,DR. KB HEDGEWAR ROAD,28.706536,77.132433,0,1,Hit and run
618,395,MAURYA ENCLAVE,11-Nov-20,19:30,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,55,Male,Pedestrian,,,,,,,,Male,INF DDA PARK PITAMPURA,MINOR ROADS,28.700027,77.151903,0,1,hit and run
619,4,NARELA (IND. AREA),02-Jan-20,13:20,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,TWDS CHHOTI HOLAMBI NIA,MINOR ROADS,28.809388,77.098983,0,1,Hit and run
620,63,NARELA (IND. AREA),29-Jan-20,12:10,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,"VARDHMAN MALL SEC-5, BAWANA",MINOR ROADS,28.80315,77.077023,0,1,
621,146,NARELA (IND. AREA),15-Mar-20,00:20,Motorised two wheeler,Self,0,0,1,1,,0,0,40,Male,Driver,,,,,,,,,DELHI JAL BOARD SANOT MOR NARE,MINOR ROADS,28.815026,77.058173,1,1,
622,288,NARELA (IND. AREA),12-Jun-20,07:45,Bus,TWW,0,0,1,1,,0,0,26,Male,Driver,,,,,,,,,NR BADA SARVODYA SCHOOL KHERA,MINOR ROADS,28.847313,77.089939,1,1,
623,309,NARELA (IND. AREA),21-Jun-20,21:10,Cycle rickshaw,Self,0,0,0,0,Other,1,1,,Male,Driver,,,,,,,,,G BLK JJ COL. BAWANA,MINOR ROADS,28.735191,77.118758,1,1,Hit and run
624,490,NARELA (IND. AREA),17-Sep-20,06:30,Car/ Jeep/ Van/ Taxi,Cyclists,0,0,0,0,Bicycle,2,1,,Male,Cyclist,,,,,,,78,Male,SANNOTH NR PARK NARELA TO BAWA,BAWANA ROAD,28.845015,77.08908,2,1,
625,624,NARELA (IND. AREA),27-Nov-20,16:58,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,,,,,,,,,,NR SAMOSHA CHOWK SEC 5 BAWANA,DSIDC NARELA ROAD,28.798024,77.078618,0,1,Hit and run
626,656,NARELA (IND. AREA),27-Dec-20,20:50,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,,,,,,,,,,INF CEMETRY FIRNI RD KHERA KHU,MINOR ROADS,28.79807,77.07848,0,1,Hit and run
627,265,NARELA (OLD IND. AREA),13-Jul-20,21:00,Heavy vehicles,Pedestrians,0,1,0,0,,,,,Male,Pedestrian,,,,,,,25,Male,PREM COLONY NARELA,NARELA ROAD,28.837852,77.080922,0,1,speeding truck
628,305,NARELA (OLD IND. AREA),27-Jul-20,22:00,UNKNOWN,Pedestrians,1,1,0,0,,0,0,25,Male,Pedestrian,,,,,,,,,GALI NO. 25V SWANTATRA NAGAR,MINOR ROADS,28.842889,77.082389,1,1,Hit and run
629,49,PRASHANT VIHAR,26-Feb-20,04:09,UNKNOWN,Pedestrians,0,1,0,0,,0,0,30,Male,Pedestrian,,,,,,,,,"NR GATE NO 1, JAPANI PARK SEC-",MINOR ROADS,28.719387,77.121018,0,1,Hit and run
630,103,PRASHANT VIHAR,11-Apr-20,20:30,Heavy vehicles,Pedestrians,0,0,0,0,Heavy vehicles,0,1,42,Male,Passenger,,,,,,,,,INF INDIAN PET PUMP RHN,MINOR ROADS,28.715994,77.118031,0,1,fell of crane
631,146,PRASHANT VIHAR,19-May-20,20:00,UNKNOWN,Pedestrians,0,1,0,0,,,,1,Female,Pedestrian,,,,,,,,,MOTHER DAIRY DDA MKT SEC-13 RO,MINOR ROADS,28.721847,77.136684,0,1,Hit and run
632,153,PRASHANT VIHAR,03-Jun-20,20:00,Car/ Jeep/ Van/ Taxi,Car,1,1,0,0,Car/ Jeep/ Van/ Taxi,1,1,37,Male,Driver,,,,,,,,,NR CRPF SCHOOL SEC-14,MINOR ROADS,28.711126,77.132235,1,1,head-on collision
633,11,PREM NAGAR,08-Jan-20,20:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,,,22,Male,Pedestrian,,,,,,,,Male,NR SUNIL PROPERTY 25 FOOTA RD,MINOR ROADS,28.688444,77.049191,0,1,
634,254,PREM NAGAR,29-Jun-20,10:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,H NO A 440 INDERENCLAVE PH 2,MINOR ROADS,28.701721,77.048518,0,1,Hit and run
635,314,PREM NAGAR,25-Jul-20,09:40,Motorised two wheeler,Self,0,0,2,1,,0,0,19,Male,Passenger,,,,,,,,,BHAGAT SINGH CHOWK,MINOR ROADS,28.694298,77.060099,2,1,Speeding
636,476,PREM NAGAR,25-Oct-20,00:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,18,Male,,,,,,,,,,NR SONY BUILDING MUBRAKPUR RAN,MINOR ROADS,28.710617,77.034012,0,1,Hit and run
637,51,RAJ PARK,23-Jan-20,08:00,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,17,Male,Pedestrian,,,,,,,,Male,ROAD NO. 316 Q BLOCK MANGOL P,MINOR ROADS,28.687854,77.093117,0,1,speeding 
638,527,RAJ PARK,16-Jun-20,21:00,UNKNOWN,TWW,0,0,0,1,,0,0,22,Male,Driver,,,,,,,,,RD APPROACHING FROM VILL SULTA,MINOR ROADS,28.694437,77.073191,0,1,Hit and run
639,19,RANI BAGH,12-Jan-20,01:40,Car/ Jeep/ Van/ Taxi,TWW,0,0,1,0,,0,0,38,Male,Driver,,,,,,,,,INF PS RANI BAGH,OUTER RING ROAD,28.698031,77.119055,1,1,Hit and run
640,31,RANI BAGH,20-Jan-20,11:00,Bus,TWW,0,0,1,1,,,,60,Female,Passenger,,,,,,,,Male,MADHUBAN CHWK UNDERPASS,OUTER RING ROAD,28.705215,77.132519,1,1,hit and run
641,312,RANI BAGH,13-Jun-20,Unknown,UNKNOWN,Pedestrians,1,0,0,0,,0,0,55,Male,Pedestrian,,,,,,,,,RANI BAGH,MINOR ROADS,28.69031,77.126854,1,1,Hit and run
642,323,RANI BAGH,28-Jun-20,03:00,UNKNOWN,TWW,0,0,0,1,,0,0,24,Male,Driver,,,,,,,,,MADHUBAN CHOWK UNDERPASS,RING ROAD,28.706216,77.133289,0,1,Hit and run
643,364,RANI BAGH,24-Jul-20,07:30,Bus,Pedestrians,0,1,0,0,,,,,Male,Pedestrian,,,,,,,,Male,ENTRY POINT MADHUBAN CHOWK UND,OUTER RING ROAD,28.699157,77.123121,0,1,speeding
644,418,RANI BAGH,09-Sep-20,16:45,UNKNOWN,TWW,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,,NR FOOT OVER BRIDGE S VIHAR,DR. KB HEDGEWAR ROAD,28.706216,77.132519,0,1,Hit and run
645,606,RANI BAGH,23-Nov-20,18:30,UNKNOWN,TWW,0,0,0,1,,0,0,40,Male,Driver,,,,,,,,,MADHUBAN CHOWK FLYOVER,OUTER RING ROAD,28.70623,77.132903,0,1,Hit and run
646,653,RANI BAGH,13-Dec-20,02:00,UNKNOWN,Car,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,35,Male,Driver,,,,,,,,,NR MADHUBAN CHOWK UNDERPASS,OUTER RING ROAD,28.706249,77.133125,0,1,Hit and run
647,368,RANI BAGH,25-Jul-20,11:50,Bus,TWW,0,0,0,1,Bus,0,1,,Male,Driver,,,,,,,,Male,"METRO STN GATE NO1,PITAMPURA",41 NO ROAD,28.703665,77.131715,0,1,speeding
648,493,ROHINI NORTH,26-Oct-20,01:00,Car/ Jeep/ Van/ Taxi,TWW,0,0,1,1,,,,25,Male,Driver,,,,,,,40,Female,BSA HOSPITAL SEC 6 ROHINI BACK,MINOR ROADS,28.714275,77.112316,1,1,speeding
649,558,ROHINI NORTH,11-Dec-20,17:15,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,65,Female,Pedestrian,,,,,,,24,Male,INF F-24/113 SEC 7 ROHINI,MINOR ROADS,28.708367,77.112,0,1,speeding
650,58,ROHINI NORTH,11-Feb-20,04:10,UNKNOWN,Pedestrians,0,1,0,0,,0,0,21,Female,Pedestrian,,,,,,,,,OPP SARAJ HOSPITAL ROHINI,"SAROJ HOSPITAL, ROHINI EAST METRO STN",28.705759,77.128383,0,1,Hit and run
651,72,ROHINI NORTH,18-Feb-20,11:15,UNKNOWN,Pedestrians,0,0,1,1,,0,0,,,,,,,,,,,,OPP FIRE STATION RED LIGHT,41 NO ROAD,28.706314,77.127919,1,1,Hit and run
652,373,ROHINI NORTH,12-Aug-20,06:30,Car/ Jeep/ Van/ Taxi,Cyclists,0,0,0,0,Bicycle,0,1,45,Male,Cyclist,,,,,,,,,NR DTC BUS STAND SAI BABA CHOW,MINOR ROADS,28.709047,77.123611,0,1,Hit and run
653,485,ROHINI NORTH,21-Oct-20,23:50,UNKNOWN,TWW,0,0,0,1,,0,0,31,Male,Driver,,,,,,,,,NR ROHINI WEST METRO STATION,41 NO ROAD,28.715253,77.114721,0,1,Hit and run
654,157,ROHINI SOUTH,10-May-20,21:17,UNKNOWN,Pedestrians,0,1,0,0,,0,,31,Male,Pedestrian,,,,,,,,,D-14 PARK RD SEC 3 ROHINI,MINOR ROADS,28.705595,77.109054,0,1,Hit and run
655,289,ROHINI SOUTH,26-Jul-20,21:50,UNKNOWN,Pedestrians,0,1,0,0,,,,30,Male,Pedestrian,,,,,,,,,AVANTIKA MKT SEC-2 ROHINI,MINOR ROADS,28.701936,77.099056,0,1,Hit and run
656,355,ROHINI SOUTH,11-Oct-20,23:00,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,AYODHYA CHOWK NR AGGARWAL SWEE,MINOR ROADS,28.706896,77.109822,0,1,Hit and run
657,402,ROHINI SOUTH,19-Nov-20,01:45,Car/ Jeep/ Van/ Taxi,TWW,0,0,1,1,,0,0,21,Female,Passenger,,,,,,,,,ROHINI SEC-2/3,MINOR ROADS,28.702163,77.099497,1,1,speeding
658,392,SAMAY PUR BADLI,19-Jun-20,19:07,UNKNOWN,TWW,0,0,0,1,,0,0,18,Male,Driver,,,,,,,,,BADALI METRO STN BEF. SIRSPUR,MINOR ROADS,28.754912,77.128238,0,1,Hit and run
659,488,SAMAY PUR BADLI,30-Jul-20,22:34,UNKNOWN,Pedestrians,0,0,0,1,,0,0,35,Male,,,,,,,,,,UPPAR GTK ROAD SIRASPUR,GTK ROAD,28.764955,77.145552,0,1,Hit and run
660,578,SAMAY PUR BADLI,16-Sep-20,19:00,UNKNOWN,Cycle rickshaw,0,0,0,0,Other,0,1,30,Male,Driver,,,,,,,,,GATE NO 5 BADLI INDL AREA NDPL,BADLI ROAD,28.745701,77.129545,0,1,Hit and run
661,95,SAMAY PUR BADLI,19-Feb-20,22:56,UNKNOWN,TWW,0,0,1,1,,0,0,32,Male,,,,,,,,,,"OPP GALI NO 6, SHRI HARI ENCLA",MINOR ROADS,28.741004,77.132891,1,1,Hit and run
662,137,SAMAY PUR BADLI,10-Mar-20,16:30,UNKNOWN,Pedestrians,0,0,0,1,,0,0,30,Male,,,,,,,,,,NR CRIME BRANCH OFFICE SEC 10,BAWANA ROAD,28.740957,77.132658,0,1,Hit and run
663,733,SAMAY PUR BADLI,28-Oct-20,18:50,UNKNOWN,TWW,0,0,0,1,,0,0,27,Male,Driver,,,,,,,,,PLATINUM ENCLAVE SSEC 18 ROHIN,MINOR ROADS,28.735852,77.128684,0,1,Hit and run
664,307,SARASWATI VIHAR(SUBHASH PLACE),05-Jun-20,06:53,Heavy vehicles,Pedestrians,0,0,0,1,,,,35,Male,Driver,,,,,,,,,NR METRO PILLAR WAZIRPUR TO MA,41 NO ROAD,28.699862,77.137191,0,1,Hit and run
665,519,SARASWATI VIHAR(SUBHASH PLACE),20-Nov-20,22:00,UNKNOWN,Pedestrians,0,0,0,1,,0,0,30,Male,Driver,,,,,,,,,NR DELHI HAAT NSP METRO STN TV,MINOR ROADS,28.695277,77.150468,0,1,Hit and run
666,17,SHAHBAD DAIRY,10-Jan-20,22:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,33,Male,Pedestrian,,,,,,,,,BUS STAND SHAHBAD DAIRY,BAWANA ROAD,28.746462,77.09614,0,1,Hit and run
667,30,SHAHBAD DAIRY,18-Jan-20,12:45,Tempo/ Tractor,TWW,0,0,0,1,,0,0,22,Male,,,,,,,,,,NEAR SEC 34 ROHINI,MINOR ROADS,28.771503,77.053834,0,1,speeding
668,32,SHAHBAD DAIRY,19-Jan-20,23:30,UNKNOWN,TWW,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,32,Male,Driver,,,,,,,,,SEC 27-28 DIVIDING ROAD ROHINI,MINOR ROADS,28.755999,77.112913,0,1,Hit and run
669,56,SHAHBAD DAIRY,03-Feb-20,22:00,UNKNOWN,TWW,0,0,0,1,,0,0,40,Male,Driver,,,,,,,,,BAWANA NAHAR TO R/L BAWANA,MINOR ROADS,28.771506,77.053829,0,1,Hit and run
670,66,SHAHBAD DAIRY,15-Feb-20,23:30,UNKNOWN,Car,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,21,Male,Driver,,,,,,,,,PANSALI CHOWK TO MAHADV CHOWK,MINOR ROADS,28.743312,77.08861,0,1,Hit and run
671,391,SHAHBAD DAIRY,23-Jul-20,14:00,UNKNOWN,Pedestrians,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,50,Male,,,,,,,,,,NR GOVT LIQUIOR SHOP,BAWANA ROAD,28.744521,77.120228,0,1,Hit and run
672,419,SHAHBAD DAIRY,21-Aug-20,09:30,UNKNOWN,Pedestrians,0,0,0,0,,0,0,29,Male,,,,,,,,,,NR BALAJI PROPERTY PRAHLAD PUR,MINOR ROADS,28.745633,77.096129,0,1,Hit and run
673,526,SHAHBAD DAIRY,13-Oct-20,14:30,UNKNOWN,TWW,0,0,0,1,,0,0,37,Male,Driver,,,,,,,,,MAIN BUS STAND OPP SAI CLINIC,BAWANA ROAD,28.7459,77.098502,0,1,Hit and run
674,545,SHAHBAD DAIRY,25-Oct-20,15:30,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,,,3,Male,Pedestrian,,,,,,,,Male,PKT C-2 OPP MADARSHA SEC 27,MINOR ROADS,28.75389,77.112361,1,1,speeding
675,587,SHAHBAD DAIRY,27-Nov-20,17:00,UNKNOWN,TWW,0,0,0,1,,0,0,52,Male,Driver,,,,,,,,,BARWALA TO NAHAR SIDE SEC 34 R,HOLAMBI ROAD,28.785874,77.071765,0,1,Hit and run
676,551,SHAHBAD DAIRY,28-Oct-20,11:15,Tempo/ Tractor,Pedestrians,0,1,0,0,,,,56,Male,Pedestrian,,,,,,,,Male,GATE NO 2 JJ COLONY SEC 25,MINOR ROADS,28.721853,77.09342,0,1,speeding
677,28,SHALIMAR BAGH,24-Jan-20,22:05,Heavy vehicles,TWW,0,0,0,1,,0,0,,Male,Passenger,0,,,,,,,,UNDERPASS SHAALIMAR BAGH,MINOR ROADS,28.697594,77.15644,0,1,
678,91,SHALIMAR BAGH,13-Mar-20,13:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,7,Female,Pedestrian,0,,,,,,,Male,"BG-I, BLOCK EAST SHALIMAR BAGH",MINOR ROADS,28.566219,77.054512,0,1,
679,432,SHALIMAR BAGH,23-Jun-20,23:55,UNKNOWN,Pedestrians,0,1,0,0,,0,0,12,Male,Pedestrian,o,,,,,,,,OPP METRO STN TWDS PITAMPURA,OUTER RING ROAD,28.730382,77.148882,0,1,Hit and run
680,445,SHALIMAR BAGH,03-Jul-20,12:15,Heavy vehicles,TWW,0,0,0,1,,0,0,,Female,Passenger,0,,,,,,,,NR MAX HOSPITAL SHALIMAR BAGH,MINOR ROADS,28.729705,77.15197,0,1,
681,492,SHALIMAR BAGH,08-Aug-20,06:35,Tempo/ Tractor,TWW,0,0,1,1,,0,0,,Male,Passenger,0,,,,,,,,NR HAIDARPUR METRO STN,OUTER RING ROAD,28.730048,77.148802,1,1,
682,613,SHALIMAR BAGH,13-Oct-20,23:40,UNKNOWN,TWW,0,0,0,1,,0,0,27,Male,Driver,0,,,,,,,,ON FLYOVER METRO HAIDERPUR,OUTER RING ROAD,28.730123,77.14889,0,1,Hit and run
683,698,SHALIMAR BAGH,26-Nov-20,23:00,Bus,TWW,0,0,0,1,,0,0,27,Male,Driver,0,,,,,,,Male,HAIDERPUR FLYOVER TWDS MADHUBA,OUTER RING ROAD,28.726135,77.143297,0,1,
684,64,SULTAN PURI,17-Jan-20,01:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,,TIKONA PARK SULTAN PURI,MINOR ROADS,28.692677,77.072472,0,1,Hit and run
685,883,SULTAN PURI,24-Jul-20,08:50,Motorised two wheeler,Self,0,0,2,1,,0,0,40,Male,Passenger,0,,,,,,29,Male,"NR PEER BABA MAZAR, GANDA NALA",MINOR ROADS,28.700055,77.08557,2,1,
686,1147,SULTAN PURI,12-Oct-20,Unknown,Heavy vehicles,Pedestrians,0,1,0,0,,0,0,38,Male,Pedestrian,0,,,,,,,,SULTANPURI BUS TERMINAL,MINOR ROADS,28.703293,77.072836,0,1,
687,1169,SULTAN PURI,15-Oct-20,23:55,UNKNOWN,Pedestrians,0,1,0,0,,0,0,30,Male,Pedestrian,0,,,,,,,,INF ARUALITE SHOW ROOM KANJHAW,KANJHAWALA ROAD,28.714306,77.076875,0,1,Hit and run
688,1261,SULTAN PURI,11-Nov-20,,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,0,,,,,,,,NR SULTANPURI BUS TERMINAL,MINOR ROADS,28.703167,77.075068,0,1,Hit and run
689,291,VIJAY VIHAR,16-Jun-20,07:10,UNKNOWN,Car,0,1,0,0,,0,0,,,Pedestrian,0,,,,,,,,NR VISHRAM CHOWK BUS STAND,MINOR ROADS,28.706197,77.102673,0,1,Hit and run
690,395,VIJAY VIHAR,19-Sep-20,04:42,UNKNOWN,Pedestrians,0,1,0,0,,0,0,50,Male,Pedestrian,0,,,,,,,,MCD FLATS SEC 4 ROHINI NR A2 D,MINOR ROADS,28.712679,77.095484,0,1,Hit and run
691,269,DEFENCE COLONY,27-Nov-20,07:30,Car/ Jeep/ Van/ Taxi,Cyclists,0,0,0,0,Bicycle,0,1,60,Male,Cyclist,0,,,,,,,Male,Ring Road oppMedanta Hospital D Cly,RING ROAD,28.56699,77.228036,0,1,
692,61,FATEHPUR BERI,29-Feb-20,00:25,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,,0,,,,,,,,Asra Farm Bandh Rd Chandanhola,MINOR ROADS,28.47667,77.71608,0,1,Hit and run
693,279,FATEHPUR BERI,21-Jul-20,09:42,UNKNOWN,TWW,0,0,1,1,,0,0,,Male,Driver,0,,,,,,,,NR SUNDER GYM MANDIR WALI GALI,MINOR ROADS,28.440045,77.16559,1,1,Hit and run
694,367,FATEHPUR BERI,25-Sep-20,00:10,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,,Male,Driver,0,,,,,,30,Male,NR METRO PIL NO 140 MG ROAD,MEHRAULI GURGAON RD,28.489748,77.139491,0,1,
695,377,FATEHPUR BERI,28-Sep-20,00:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,"DERA VILLAGE, SSN MARG",MINOR ROADS,28.439834,77.163858,1,1,Hit and run
696,397,FATEHPUR BERI,15-Oct-20,Unknown,Tempo/ Tractor,TWW,0,0,0,1,,0,0,,Male,,,,,,,,,Male,JMD GARDEN CUT G BLOCK AYA NAG,MINOR ROADS,28.472342,77.134392,0,1,
697,415,FATEHPUR BERI,25-Oct-20,20:40,UNKNOWN,Cyclists,0,0,0,0,Bicycle,0,1,,Male,Cyclist,,,,,,,,,NR ROSEWOOD DRIVE JOANPUR,MINOR ROADS,28.462587,77.150495,0,1,Hit and run
698,427,FATEHPUR BERI,02-Nov-20,15:08,Car/ Jeep/ Van/ Taxi,Self,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,,Male,,,,,,,,,,DERA VILL OPP STADIUM,MINOR ROADS,28.442446,77.178563,0,1,
699,433,FATEHPUR BERI,04-Nov-20,05:57,UNKNOWN,Pedestrians,0,1,0,0,,0,0,62,Male,Pedestrian,,,,,,,,,NR BALMIKI MANDIRFATEHPUR BERI,MINOR ROADS,28.455068,77.182482,0,1,Hit and run
700,445,FATEHPUR BERI,10-Nov-20,21:15,Heavy vehicles,TWW,0,0,0,1,,0,0,15,Male,Driver,,,,,,,,Male,MAIN MARKET FATEPURBERI,MINOR ROADS,28.455177,77.181527,0,1,
701,467,FATEHPUR BERI,25-Nov-20,Unknown,Tempo/ Tractor,Pedestrians,0,1,0,0,,0,0,19,Male,Pedestrian,0,,,,,,,,MANDI VILLAGE,MINOR ROADS,28.441628,77.142414,0,1,
702,492,FATEHPUR BERI,19-Dec-20,12:00,Tempo/ Tractor,HDC,0,0,0,0,Cycle rickshaw,0,1,,Male,Cyclist,0,,,,,,,Male,NR BACK GATE JHANKAR GARDEN VI,MINOR ROADS,28.480139,77.126139,0,1,
