FIR_No,PS_Name,Latitude,Longitude
102,BABA HARIDAS NAGAR,28.63848,76.96100
147,BABA HARIDAS NAGAR,28.68168,77.06743
222,BABA HARIDAS NAGAR,28.62385,76.97033
228,BABA HARIDAS NAGAR,28.60555,76.96359
235,BABA HARIDAS NAGAR,28.61452,76.98120
309,BABA HARIDAS NAGAR,28.68136,77.07578
382,BABA HARIDAS NAGAR,28.64248,76.95837
399,BABA HARIDAS NAGAR,28.61913,76.97406
416,BABA HARIDAS NAGAR,28.60902,76.96464
429,BABA HARIDAS NAGAR,28.61099,76.98662
438,BABA HARIDAS NAGAR,28.63461,76.95719
472,BABA HARIDAS NAGAR,28.61042,76.97176
498,BABA HARIDAS NAGAR,28.61308,76.97585
502,BABA HARIDAS NAGAR,28.61921,76.97425
508,BABA HARIDAS NAGAR,28.61143,76.97504
510,BABA HARIDAS NAGAR,28.61840,76.96532
526,BABA HARIDAS NAGAR,28.61055,76.94120
616,BABA HARIDAS NAGAR,28.63885,76.96056
79,BADAR PUR,28.49638,77.30254
117,BADAR PUR,28.49897,77.30029
122,BADAR PUR,28.49954,77.29941
207,BADAR PUR,28.49399,77.30352
490,BADAR PUR,28.54170,77.16185
592,BADAR PUR,28.49071,77.30411
636,BADAR PUR,28.50274,77.29976
639,BADAR PUR,28.50943,77.29899
657,BADAR PUR,28.51176,77.29808
148,BARA HINDU RAO,28.66290,77.21467
131,BARAKHAMBA ROAD,28.61921,77.22742
12,BAWANA,28.78247,77.04296
25,BAWANA,28.79057,77.05224
131,BAWANA,28.79458,77.04764
153,BAWANA,28.79451,77.04472
187,BAWANA,28.79110,77.05157
225,BAWANA,28.78299,77.04768
248,BAWANA,28.76922,77.04748
250,BAWANA,28.79914,77.05425
302,BAWANA,28.73760,77.00746
310,BAWANA,28.83119,77.00553
371,BAWANA,28.81606,77.00753
395,BAWANA,28.77868,77.02142
514,BAWANA,28.77800,77.02110
637,BAWANA,28.77910,77.04428
755,BAWANA,28.77562,77.04725
874,BAWANA,28.79015,77.05787
913,BAWANA,28.80411,77.02806
987,BAWANA,28.78231,77.05433
137,BEGUM PUR,28.72880,77.07325
158,BEGUM PUR,28.76276,76.96741
281,BEGUM PUR,28.72683,77.06442
425,BEGUM PUR,28.72852,77.09520
506,BEGUM PUR,28.73099,77.08731
578,BEGUM PUR,28.73108,77.07841
475,BegumPur,28.71552,77.05729
266,BHAJAN PURA,28.69693,77.26612
415,BHAJAN PURA,28.69880,77.27192
28,BHALASWA DAIRY,28.75024,77.17143
40,BHALASWA DAIRY,28.75184,77.17000
53,BHALASWA DAIRY,28.73642,77.15480
100,BHALASWA DAIRY,28.73737,77.15455
110,BHALASWA DAIRY,28.74632,77.15711
255,BHALASWA DAIRY,28.74902,77.16034
294,BHALASWA DAIRY,28.73767,77.15442
338,BHALASWA DAIRY,28.73700,77.16898
600,BHALASWA DAIRY,28.73712,77.16063
691,BHALASWA DAIRY,28.75134,77.14783
363,BHALASWA DAIRY,28.74043,77.17123
727,BHALASWA DAIRY,28.75263,77.14981
109,BHARAT NAGAR,28.67854,77.17690
515,BHARAT NAGAR,28.68976,77.18398
693,BHARAT NAGAR,28.68634,77.18279
679,Bharat Nagar,28.67919,77.17205
105,BINDA PUR,28.62005,77.03863
449,BINDA PUR,28.61963,77.03579
453,BINDA PUR,28.62020,77.04167
470,BINDA PUR,28.62088,77.05124
297,BUDH VIHAR,28.71961,77.10725
319,BUDH VIHAR,28.71086,77.107094
3,BURARI,28.74903,77.19850
55,BURARI,28.75170,77.19874
157,BURARI,28.74955,77.19857
159,BURARI,28.72866,77.19779
187,BURARI,28.75544,77.19757
198,BURARI,28.72896,77.19660
772,BURARI,28.72847,77.18939
784,BURARI,28.73045,77.18993
2,CHANAKYA PURI,28.60198,77.18071
89,CHANAKYA PURI,28.61603,77.17554
107,CHANAKYA PURI,28.58561,77.19205
124,CHANAKYA PURI,28.60771,77.19379
117,CHANAKYA PURI,28.59620,77.19942
153,CHANAKYA PURI,28.60980,77.19123
25,CHHAWALA,28.52909,77.00496
6,CHHAWALA,28.55869,76.93906
44,CHHAWALA,28.56138,77.00197
58,CHHAWALA,28.57793,77.00871
79,CHHAWALA,28.60430,76.97629
80,CHHAWALA,28.53482,76.90366
198,CHHAWALA,28.61468,77.02835
285,CHHAWALA,28.52028,76.96639
342,CHHAWALA,28.52142,76.96517
530,CHHAWALA,28.59513,76.99317
551,CHHAWALA,28.57236,76.98083
271,CHITRANJAN PARK,28.54166,77.23122
26,CHITRANJAN PARK,28.53525,77.20938
136,CHITRANJAN PARK,28.53412,77.24409
237,CHITRANJAN PARK,28.53991,77.24864
245,CHITRANJAN PARK,28.54345,77.24633
309,CHITRANJAN PARK,28.53726,77.25394
37,CIVIL LINES,28.67821,77.22180
66,CIVIL LINES,28.68185,77.22907
79,CIVIL LINES,28.67483,77.22552
98,CIVIL LINES,28.68498,77.21646
244,CIVIL LINES,28.68660,77.22178
302,CIVIL LINES,28.67277,77.22092
240,CIVIL LINES,28.66692,77.21793
414,CIVIL LINES,28.68015,77.22953
426,CIVIL LINES,28.51393,77.11739
428,CIVIL LINES,28.67427,77.21679
250,CIVIL LINES,28.67391,77.21615
347,CIVIL LINES,28.67312,77.23096
422,CIVIL LINES,28.69411,77.22765
13,CONNAUGHT PLACE,28.62377,77.21911
139,CONNAUGHT PLACE,28.62696,77.21939
146,CONNAUGHT PLACE,28.63470,77.21622
170,CONNAUGHT PLACE,28.62925,77.21344
189,CONNAUGHT PLACE,28.63494,77.21981
22,DABRI,28.61759,77.07780
234,DABRI,28.61126,77.08435
399,DABRI,28.61656,77.09013
547,DABRI,28.60378,77.08284
752,DABRI,28.61277,77.08675
779,DABRI,28.60944,77.08287
865,DABRI,28.60540,77.07321
940,DABRI,28.70839,77.13520
1013,DABRI,28.61072,77.08400
1083,DABRI,28.61146,77.07645
115,DARYA GANJ,28.63993,77.25726
181,DARYA GANJ,28.64210,77.25275
231,DARYA GANJ,28.66285,77.23709
234,DARYA GANJ,28.65573,77.23991
337,DARYA GANJ,28.65078,77.245069
340,DARYA GANJ,28.65210,77.23806
436,DARYA GANJ,28.63989,77.25752
521,DARYA GANJ,28.65076,77.24509
231,DAYAL PUR,28.70261,77.27593
251,DAYAL PUR,28.70368,77.26061
125,DAYAL PUR,28.70779,77.27666
144,DAYAL PUR,28.71678,77.26466
32,DEFENCE COLONY,28.57278,77.20557
30,DEFENCE COLONY,28.55698,77.22947
138,DEFENCE COLONY,28.55554,77.19440
10,DELHI CANNT,28.57326,77.16115
15,DELHI CANNT,28.59516,77.16276
31,DELHI CANNT,28.57889,77.09920
40,DELHI CANNT,28.58073,77.15904
53,DELHI CANNT,28.59199,77.16023
70,DELHI CANNT,28.59229,77.16092
84,DELHI CANNT,28.56005,77.17055
85,DELHI CANNT,28.55987,77.17061
93,DELHI CANNT,28.57404,77.15247
97,DELHI CANNT,28.58713,77.08632
148,DELHI CANNT,28.58399,77.13640
175,DELHI CANNT,28.58075,77.14362
204,DELHI CANNT,28.57858,77.10556
240,DELHI CANNT,28.59407,77.16584
244,DELHI CANNT,28.61297,77.02963
258,DELHI CANNT,28.56002,77.17047
274,DELHI CANNT,28.57680,77.11130
288,DELHI CANNT,28.58455,77.15957
290,DELHI CANNT,28.58003,77.13879
298,DELHI CANNT,28.57034,77.13365
41,DELHI CANNT,28.54629,77.05933
36,DELHI CANNT,28.60800,77.14083
338,DELHI CANNT,28.57972,77.14480
365,DELHI CANNT,28.57917,77.14476
366,DELHI CANNT,28.57656,77.11311
369,DELHI CANNT,28.58820,77.15132
371,DELHI CANNT,28.59437,77.16666
373,DELHI CANNT,28.59591,77.16921
375,DELHI CANNT,28.59860,77.16357
345,Delhi Cantt.,28.59941,77.12477
351,Delhi Cantt.,28.56713,77.127797
63,DESH BANDHU GUPTA RD,28.64573,77.15111
93,DESH BANDHU GUPTA RD,28.65977,77.19428
271,DESH BANDHU GUPTA RD,28.64886,77.19255
379,DESH BANDHU GUPTA RD,28.65617,77.19826
179,DESH BANDHU GUPTA RD,28.66116,77.20420
482,DESH BANDHU GUPTA RD,28.65303,77.19234
495,DESH BANDHU GUPTA RD,28.65901,77.19149
4,DHAULA KUAN(SOUTH CAMPUS),28.58998,77.16686
18,DHAULA KUAN(SOUTH CAMPUS),28.57928,77.17566
91,DHAULA KUAN(SOUTH CAMPUS),28.57971,77.17538
110,DHAULA KUAN(SOUTH CAMPUS),28.58607,77.17179
121,DHAULA KUAN(SOUTH CAMPUS),28.58065,77.17495
130,DR AMBEDKAR NAGAR,28.51855,77.22554
159,DR AMBEDKAR NAGAR,28.52746,77.23189
291,DR AMBEDKAR NAGAR,28.52433,77.22799
364,DR AMBEDKAR NAGAR,28.51511,77.22912
536,DR AMBEDKAR NAGAR,28.52788,77.24882
29,DWARKA,28.58021,77.02041
95,DWARKA,28.58449,77.04685
109,DWARKA,28.58637,77.04949
329,DWARKA,28.58269,77.03811
367,DWARKA,28.55499,77.05933
110,DWARKA,28.55427,77.05036
477,DWARKA,28.57778,77.05110
4,DWARKA NORTH,28.60180,77.04232
6,DWARKA NORTH,28.59972,77.04322
26,DWARKA NORTH,28.61837,77.02722
73,DWARKA NORTH,28.60824,77.03511
102,DWARKA NORTH,28.61557,77.02720
109,DWARKA NORTH,28.60084,77.02000
120,DWARKA NORTH,28.59361,77.04567
227,DWARKA NORTH,28.59347,77.04322
597,DWARKA NORTH,28.59760,77.03694
637,DWARKA NORTH,28.60751,77.05157
776,DWARKA NORTH,28.60445,77.05449
811,DWARKA NORTH,28.60634,77.02270
813,DWARKA NORTH,28.60291,77.02355
834,DWARKA NORTH,28.58435,77.03192
835,DWARKA NORTH,28.60504,77.04805
94,DWARKA SOUTH,28.59157,77.05773
158,DWARKA SOUTH,28.59188,77.04844
246,DWARKA SOUTH,28.59989,77.06115
458,DWARKA SOUTH,28.58510,77.07130
483,DWARKA SOUTH,28.57323,77.06390
118,DWARKA SOUTH,28.60260,77.07023
308,DWARKA SOUTH,28.59971,77.06498
620,DWARKA SOUTH,28.59498,77.07126
5,FARSH BAZAR,28.66737,77.29738
49,FATEHPUR BERI,28.44959,77.18435
69,FATEHPUR BERI,28.47977,77.15954
88,FATEHPUR BERI,28.49373,77.14912
113,FATEHPUR BERI,28.49230,77.14582
168,FATEHPUR BERI,28.43976,77.17227
323,FATEHPUR BERI,28.44755,77.18252
360,FATEHPUR BERI,28.45486,77.18366
369,FATEHPUR BERI,28.49708,77.15657
379,FATEHPUR BERI,28.49612,77.16556
420,FATEHPUR BERI,28.49014,77.14015
448,FATEHPUR BERI,28.49874,77.16003
456,FATEHPUR BERI,28.47109,77.18707
501,FATEHPUR BERI,28.50392,77.17203
515,FATEHPUR BERI,28.45494,77.17384
517,FATEHPUR BERI,28.48788,77.13541
538,FATEHPUR BERI,28.52381,77.17168
2,GAJI PUR,28.63305,77.32361
21,GAJI PUR,28.61506,77.32359
28,GAJI PUR,28.62401,77.33700
65,GAJI PUR,28.62710,77.31787
79,GAJI PUR,28.62194,77.32456
151,GAJI PUR,28.60946,77.32998
196,GAJI PUR,28.61723,77.32189
482,GAJI PUR,28.63026,77.32801
607,GAJI PUR,28.61518,77.32362
626,GAJI PUR,28.63172,77.32419
399,GAJIPUR,28.62049,77.32048
84,GANDHI NAGAR,28.66585,77.26681
318,GANDHI NAGAR,28.66909,77.26570
342,GANDHI NAGAR,28.66252,77.25875
360,GANDHI NAGAR,28.66418,77.25627
15,GEETA COLONY,28.65469,77.26429
33,GEETA COLONY,28.64565,77.27797
83,GEETA COLONY,28.65165,77.26727
346,GEETA COLONY,28.65228,77.26832
578,GEETA COLONY,28.62831,77.25140
674,GEETA COLONY,28.65166,77.26738
502,GEETA COLONY,28.65230,77.26900
497,Ghazipur,28.629235,77.322914
83,GOKAL PURI,28.70250,77.27425
90,GOKAL PURI,28.70217,77.27881
206,GOKAL PURI,28.69801,77.29168
256,GOKAL PURI,28.70106,77.29142
31,GOVIND PURI,28.52365,77.25591
79,GREATER KAILASH,28.53870,77.23203
248,GREATER KAILASH,28.54875,77.22850
256,GREATER KAILASH,28.53995,77.23207
294,GREATER KAILASH,28.54157,77.23962
86,GTB ENCLAVE,28.67596,77.31271
152,GTB ENCLAVE,28.67592,77.30734
180,GTB ENCLAVE,28.67594,77.30733
186,GTB ENCLAVE,28.68275,77.31215
392,GTB ENCLAVE,28.67565,77.30025
420,GTB ENCLAVE,28.67599,77.31193
70,GULABI BAGH,28.67919,77.19352
74,GULABI BAGH,28.66652,77.19891
271,GULABI BAGH,28.67124,77.19407
255,GULABI BAGH,28.66642,77.20007
59,HARI NAGAR,28.60067,77.10306
73,HARI NAGAR,28.62364,77.09783
519,HARI NAGAR,28.63137,77.08643
13,HARI NAGAR,28.62501,77.10739
627,HARI NAGAR,28.61952,77.10442
685,HARI NAGAR,28.62430,77.09959
298,HARSH VIHAR,28.70144,77.30632
1,HAUZ KHAS,28.54598,77.20202
72,HAUZ KHAS,28.54595,77.20210
75,HAUZ KHAS,28.54287,77.21760
266,HAUZ KHAS,28.54259,77.22084
307,HAUZ KHAS,28.54255,77.22027
370,HAUZ KHAS,28.56251,77.22317
311,HauzKhas,28.542651,77.220491
155,HAZRAT NIZAMUDDIN,28.59218,77.24011
5,HAZRAT NIZAMUDDIN,28.58287,77.25122
167,HAZRAT NIZAMUDDIN,28.58423,77.25008
179,HAZRAT NIZAMUDDIN,28.59323,77.25291
314,HAZRAT NIZAMUDDIN,28.59326,77.24312
262,HAZRAT NIZAMUDDIN,28.59299,77.24393
258,I.G.I AIR PORT,28.55688,77.08547
23,I.P. ESTATE,28.66120,77.09101
33,I.P. ESTATE,28.63308,77.24100
134,I.P. ESTATE,28.62709,77.24667
66,I.P. ESTATE,28.62840,77.23826
306,I.P. ESTATE,28.63247,77.24671
309,I.P. ESTATE,28.61474,77.25040
381,I.P. ESTATE,28.62117,77.24842
385,I.P. ESTATE,28.63132,77.24686
44,INDER PURI,28.62375,77.15701
45,INDER PURI,28.63723,77.14663
62,INDER PURI,28.62302,77.15810
304,INDER PURI,28.63419,77.16774
320,INDER PURI,28.62992,77.16681
386,INDER PURI,28.63355,77.17376
435,INDER PURI,28.63076,77.16900
307,INDER PURI,28.62657,77.15333
351,Inder Puri,28.63589,77.18099
3,JAFFAR PUR,28.62336,76.92034
4,JAFFAR PUR,28.59512,76.91543
5,JAFFAR PUR,28.59477,76.87772
6,JAFFAR PUR,28.55515,76.86359
21,JAFFAR PUR,28.55207,76.91301
145,JAFFAR PUR,28.53581,76.86815
149,JAFFAR PUR,28.59487,76.91366
26,JAFFAR PUR,28.52084,76.90018
22,Jaffarpur Kalan,28.562272,76.8433
0039,Jaffarpur Kalan,28.595304,76.915457
0095,Jaffarpur Kalan,28.597287,76.870216
101,Jaffarpur Kalan,28.595755,76.915559
110,Jaffarpur Kalan,28.59518,76.915379
25,JAGAT PURI,28.65929,77.28753
247,JAGAT PURI,28.64488,77.29828
498,JAGAT PURI,28.65320,77.28061
108,JAHANGIR PURI,28.73552,77.17307
121,JAHANGIR PURI,28.73131,77.18675
158,JAHANGIR PURI,28.73206,77.18082
167,JAHANGIR PURI,28.73665,77.15930
193,JAHANGIR PURI,28.73511,77.17424
198,JAHANGIR PURI,28.73665,77.15930
222,JAHANGIR PURI,28.73346,77.17921
226,JAHANGIR PURI,28.72785,77.14283
358,JAHANGIR PURI,28.73435,77.17678
366,JAHANGIR PURI,28.73644,77.17062
540,JAHANGIR PURI,28.73552,77.17307
590,JAHANGIR PURI,28.73513,77.15613
598,JAHANGIR PURI,28.72223,77.14084
605,JAHANGIR PURI,28.72138,77.10560
750,JAHANGIR PURI,28.73088,77.14174
806,JAHANGIR PURI,28.73680,77.16968
328,JAHANGIR PURI,28.72988,77.17088
480,JAHANGIR PURI,28.72796,77.17894
759,JAHANGIR PURI,28.72965,77.17310
782,JAHANGIR PURI,28.73134,77.18205
796,JAHANGIR PURI,28.71894,77.17006
825,JAHANGIR PURI,28.72903,77.16625
866,JAHANGIR PURI,28.70915,77.13577
879,JAHANGIR PURI,28.73234,77.18281
893,JAHANGIR PURI,28.73493,77.17823
895,JAHANGIR PURI,28.73126,77.18595
859,Jahangir Puri,28.734821,77.174967
74,JAIT PUR,28.48783,77.31681
329,JAIT PUR,28.50588,77.31484
489,JAIT PUR,28.54884,77.30433
528,JAIT PUR,28.50896,77.34035
290,JAMA MASJID,28.64986,77.23283
2,JANAK PURI,28.62001,77.08556
26,JANAK PURI,28.61346,77.08726
37,JANAK PURI,28.61429,77.08703
112,JANAK PURI,28.62017,77.07567
128,JANAK PURI,28.61792,77.07721
338,JANAK PURI,28.61322,77.08750
440,JANAK PURI,28.61372,77.08625
450,JANAK PURI,28.61906,77.07526
535,JANAK PURI,28.61385,77.08648
536,JANAK PURI,28.61551,77.09322
584,JANAK PURI,28.62248,77.08781
123,JYOTI NAGAR,28.69437,77.30860
257,JYOTI NAGAR,28.70079,77.29408
287,JYOTI NAGAR,28.70143,77.28624
398,JYOTI NAGAR,28.69003,77.29186
607,JYOTI NAGAR,28.68940,77.29191
37,K.N.KATJU MARG,28.71946,77.13679
142,K.N.KATJU MARG,28.72557,77.12789
222,K.N.KATJU MARG,28.71874,77.12223
260,K.N.KATJU MARG,28.71889,77.13942
414,K.N.KATJU MARG,28.71196,77.11990
536,K.N.KATJU MARG,28.73050,77.13284
426,KALINDI KUNJ,28.53088,77.32272
515,KALINDI KUNJ,28.54391,77.31172
105,KALINDI KUNJ,28.528885,77.324088
122,KALINDI KUNJ,28.539332,77.312894
123,KALINDI KUNJ,28.521471,77.30891
131,KALINDI KUNJ,28.513463,77.334494
195,KALINDI KUNJ,28.530734,77.304568
206,KALINDI KUNJ,28.507681,77.312894
735,KALKAJI,28.54780,77.25517
31,KALKAJI,28.55412,77.26536
565,Kalkaji,28.549431,77.24866
624,Kalkaji,28.548783,77.259297
105,KALYAN PURI,28.58701,77.25916
164,KALYAN PURI,28.61277,77.31145
172,KALYAN PURI,28.62424,77.30928
206,KALYAN PURI,28.61936,77.31504
274,KALYAN PURI,28.59600,77.29541
321,KALYAN PURI,28.62775,77.31810
348,KALYAN PURI,28.61935,77.31964
5,KAMLA MARKET,28.64137,77.22354
152,KAMLA MARKET,28.64018,77.23105
341,KAMLA MARKET,28.63950,77.22343
468,KAMLA MARKET,28.64357,77.22796
25,KANJHAWALA,28.73774,77.00737
44,KANJHAWALA,28.77187,76.97238
88,KANJHAWALA,28.71646,77.00366
213,KANJHAWALA,28.69700,77.02760
265,KANJHAWALA,28.69399,76.99488
374,KANJHAWALA,28.72981,77.04267
378,KANJHAWALA,28.69423,77.02786
459,KANJHAWALA,28.70787,77.00125
530,KANJHAWALA,28.70352,76.98025
606,KANJHAWALA,28.73154,77.03271
647,KANJHAWALA,28.74083,77.00975
652,KANJHAWALA,28.71390,77.00331
759,KANJHAWALA,28.73844,77.04074
2,KAPASHERA,28.51901,77.07124
61,KAPASHERA,28.54106,77.07837
87,KAPASHERA,28.52736,77.03906
93,KAPASHERA,28.52210,77.07525
112,KAPASHERA,28.53704,77.06134
117,KAPASHERA,28.54008,77.02653
134,KAPASHERA,28.53764,77.06891
229,KAPASHERA,28.52885,77.06957
267,KAPASHERA,28.52902,77.07786
281,KAPASHERA,28.54193,77.07173
337,KAPASHERA,28.52298,77.08273
365,KAPASHERA,28.51776,77.08019
375,KAPASHERA,28.52768,77.07437
395,KAPASHERA,28.52450,77.09426
410,KAPASHERA,28.52985,77.08726
370,KAPASHERA,28.528561,77.070509
148,KARAWAL NAGAR,28.73335,77.26016
727,KARAWAL NAGAR,28.71686,77.26372
64,KAROL BAGH,28.64447,77.19227
516,KAROL BAGH,28.64363,77.18856
556,KAROL BAGH,28.64720,77.19447
570,Kashmere Gate,28.665899,77.222089
137,KASHMIRI GATE,28.66515,77.23535
184,KASHMIRI GATE,28.66736,77.22452
302,KASHMIRI GATE,28.66696,77.22954
486,KASHMIRI GATE,28.66394,77.23575
499,KASHMIRI GATE,28.66922,77.22781
89,KASHMIRI GATE,28.66235,77.23792
353,KASHMIRI GATE,28.66225,77.23807
534,KASHMIRI GATE,28.66209,77.24488
406,KASHMIRI GATE,28.66382,77.22148
646,KASHMIRI GATE,28.66308,77.23666
74,KESHAV PURAM,28.68186,77.14780
468,KESHAV PURAM,28.68185,77.16227
540,KESHAV PURAM,28.69999,77.15829
723,KESHAV PURAM,28.68936,77.15718
788,KESHAV PURAM,28.68238,77.16454
588,Keshav Puram,28.689363,77.157076
671,KhajuriKhas,28.703373,77.26393
602,KHAYALA,28.65256,77.10900
83,KHAZOORI,28.70601,77.25632
174,KHAZOORI,28.71586,77.25747
193,KHAZOORI,28.70466,77.25554
314,KHAZOORI,28.70261,77.27227
572,KHAZOORI,28.70276,77.27082
47,KIRTI NAGAR,28.63940,77.12927
404,KIRTI NAGAR,28.63953,77.12943
427,KIRTI NAGAR,28.63782,77.12983
128,KIRTI NAGAR,28.65891,77.14550
432,KIRTI NAGAR,28.65263,77.14244
256,KIRTI NAGAR,28.64661,77.12665
1,KISHAN GARH,28.55573,77.17598
45,KISHAN GARH,28.54685,77.19362
114,KISHAN GARH,28.54568,77.19792
231,KISHAN GARH,28.51700,77.16528
252,KISHAN GARH,28.51986,77.16237
335,KISHAN GARH,28.54877,77.18844
546,KISHAN GARH,28.55155,77.18240
561,KISHAN GARH,28.54675,77.19351
119,KOTLA MUBARAK PUR,28.56912,77.21233
419,KOTLA MUBARAK PUR,28.57981,77.22393
444,KOTLA MUBARAK PUR,28.56775,77.22556
412,KOTWALI,28.65137,77.25445
455,KOTWALI,28.65581,77.24485
465,KOTWALI,28.65826,77.24819
533,KOTWALI,28.65788,77.23708
541,KOTWALI,28.65796,77.24472
555,KOTWALI,28.65170,77.23768
586,KOTWALI,28.65331,77.23645
632,KOTWALI,28.65125,77.25452
853,KOTWALI,28.65668,77.23683
982,KOTWALI,28.65149,77.25888
147,KRISHNA NAGAR,28.66742,77.27758
455,KRISHNA NAGAR,28.66921,77.27863
724,KRISHNA NAGAR,28.66753,77.27716
752,Krishna Nagar,28.67085,77.280766
58,LAHORI GATE,28.64640,77.22355
111,LAHORI GATE,28.66323,77.21561
323,LAHORI GATE,28.65603,77.22284
396,LAHORI GATE,28.65649,77.22843
484,LAHORI GATE,28.65425,77.21898
572,LAHORI GATE,28.65704,77.21868
324,LAJPAT NAGAR,28.56546,77.23451
478,LAJPAT NAGAR,28.57597,77.25054
131,LODHI COLONY,28.58265,77.22007
152,LODHI COLONY,28.57802,77.22555
14,MADHU VIHAR,28.63322,77.31054
58,MADHU VIHAR,28.62934,77.30713
191,MADHU VIHAR,28.63583,77.30580
372,MadhuVihar,28.62666,77.30951
11,MAHENDRA PARK,28.73495,77.15358
105,MAHENDRA PARK,28.73477,77.15605
427,MAHENDRA PARK,28.73512,77.15603
1189,MAHENDRA PARK,28.73448,77.15629
6,MAHENDRA PARK,28.72160,77.16614
44,MAHENDRA PARK,28.73392,77.15500
71,MAHENDRA PARK,28.73392,77.15858
83,MAHENDRA PARK,28.73392,77.15858
569,MAHENDRA PARK,28.71462,77.17701
723,MAHENDRA PARK,28.70450,77.16504
820,MAHENDRA PARK,28.72685,77.16213
1132,MAHENDRA PARK,28.72058,77.16686
1347,MAHENDRA PARK,28.74056,77.15385
1497,MAHENDRA PARK,28.73053,77.15918
1585,MAHENDRA PARK,28.72698,77.17233
78,MANDIR MARG,28.63323,77.17422
6,MANDIR MARG,28.62748,77.20797
8,MANDIR MARG,28.63410,77.18919
112,MANDIR MARG,28.63080,77.20537
113,MANDIR MARG,28.62748,77.20797
117,MANDIR MARG,28.63413,77.20052
136,MANDIR MARG,28.63964,77.20801
140,MANDIR MARG,28.60907,77.17256
146,MANDIR MARG,28.63904,77.20874
149,MANDIR MARG,28.64460,77.19723
164,MANDIR MARG,28.63242,77.20137
105,MANGOL PURI,28.68838,77.09549
234,MANGOL PURI,28.68046,77.08764
235,MANGOL PURI,28.69299,77.10094
346,MANGOL PURI,28.69032,77.09688
802,MANGOL PURI,28.67965,77.09204
967,MANGOL PURI,28.69292,77.10057
1315,MANGOL PURI,28.67971,77.09414
1439,MANGOL PURI,28.68923,77.09633
1415,MangolPuri,28.698645,77.096595
1194,MangolPuri,28.703275,77.088679
1202,MangolPuri,28.692432,77.088399
135,MANSAROVER PARK,28.67608,77.29326
485,MANSAROVER PARK,28.68955,77.29934
52,MAURICE NAGAR,28.68490,77.21645
183,MAURICE NAGAR,28.69716,77.20952
184,MAURICE NAGAR,28.68500,77.21375
354,MAURYA ENCLAVE,28.70751,77.13667
372,MAURYA ENCLAVE,28.71393,77.13874
413,MAURYA ENCLAVE,28.70594,77.12822
468,MAURYA ENCLAVE,28.70375,77.13082
629,MAURYA ENCLAVE,28.72143,77.14076
674,MAURYA ENCLAVE,28.71959,77.14025
778,MAURYA ENCLAVE,28.71697,77.13727
