PS_ID,PS_Name,PS_Name_New,PS_State,PS_Dist,div_DCP,Sb_div_ACP,Circle_TI
109,New Friends Colony,New Friends Colony,Delhi,Delhi,South East,Kalkaji,New Friends Colony
110,New Usman Pur,New Usman Pur,Delhi,Delhi,North East,KhajuriKhas,Seelampur
111,NewAshok Naf!ar,New Ashok Nagar,Delhi,Delhi,East District,Kalyan Puri,Kalyan Puri
112,NihalVihar,Nihal Vihar,Delhi,Delhi,Outer,Nangloi,Paschim Vihar
113,North Avenue,North Avenue,Delhi,Delhi,New Delhi,Chanakya Puri,Parliament Street
114,North Rohini,Rohini North,Delhi,Delhi,Rohini,Rohini,Rohini
115,Okhla Ind. Area,Okhla Industrial Area,Delhi,Delhi,South East,Sarita Vihar,Sarita Vihar
116,Palam Airport,Palam Airport,Delhi,Delhi,South west,Delhi Cantt.,I.G.I. Airport
117,Palam Village,Palam Village,Delhi,Delhi,South west,Delhi Cantt.,Delhi Cantt.
118,Palam Village,Palam Village,Delhi,Delhi,South west,Delhi Cantt.,Delhi Cantt.
119,Pandav Nagar,Pandav Nagar,Delhi,Delhi,East District,Kalyan Puri,Mayur Vihar
120,Parliament Street,Parliament Street,Delhi,Delhi,New Delhi,Chanakya Puri,Parliament Street
121,Parshad Nagar,Prasad Nagar,Delhi,Delhi,Central,Patel Nagar,Karol Bagh
122,ParshantVihar,Prashant Vihar,Delhi,Delhi,Rohini,Rohini,Prashant Vihar
123,PaschimVihar (East),Paschim Vihar(East),Delhi,Delhi,Outer,Nangloi,Paschim Vihar
124,PaschimVihar (West),Mianwali Nagar(West),Delhi,Delhi,Outer,Nangloi,Paschim Vihar
125,Patel Nagar,Patel Nagar,Delhi,Delhi,Central,Patel Nagar,Patel Nagar
126,Patparganj Ind. Area,Patparganj Ind. Area,Delhi,Delhi,East District,Preet Vihar,Madhu Vihar
127,Preet Vihar,Preet Vihar,Delhi,Delhi,East District,Preet Vihar,Preet Vihar
128,Prem Nagar,Prem  Nagar,Delhi,Delhi,Rohini,Begum Pur,Aman Vihar
129,PulPrahladPur,Pul Prahladpur,Delhi,Delhi,South East,Sarita Vihar,Badarpur
130,Punjabi Bagh,Punjabi Bagh,Delhi,Delhi,West,Punjabi Bagh,Punjabi Bagh
131,Moti nagar,Moti nagar,Delhi,Delhi,West,Punjabi Bagh,Punjabi Bagh
132,R.K Puram,R.K. Puram,Delhi,Delhi,South west,Delhi Cantt.,Vasant Vihar
133,Raj Park,Raj Park,Delhi,Delhi,Outer,Mangol Puri,Sultan Puri
134,Rajinder Nagar,Rajinder Nagar,Delhi,Delhi,Central,Patel Nagar,Karol Bagh
135,Rajouri Garden,Rajouri Garden,Delhi,Delhi,West,Rajouri Garden,Rajouri Garden
136,Ranhola,Ranhola,Delhi,Delhi,Outer,Nangloi,Nangloi
137,Rani Bagh,Rani Bagh,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri
138,Ranjit Nagar,Ranjit Nagar,Delhi,Delhi,Central,Patel Nagar,Patel Nagar
139,Roop Nagar,Roop Nagar,Delhi,Delhi,North,Civil Lines,Civil Lines
140,Sabzi Mandi,Subzi Mandi,Delhi,Delhi,North,Kotwali,Sadar Bazar
141,Sadar Bazar,Sadar Bazar,Delhi,Delhi,North,Kotwali,Sadar Bazar
142,Safdarjung Enclave,Safdarjung Enclave,Delhi,Delhi,South west,Vasant Kunj,Safdarjung Enclave
143,Sagar Pur,Sagar Pur,Delhi,Delhi,South west,Delhi Cantt.,Delhi Cantt.
144,SamayPurBadli,Samai Pur Badli,Delhi,Delhi,Outer North,Samai Pur Badli,Samai Pur Badli
145,SangamVihar,Sangam Vihar,Delhi,Delhi,South,Mehrauli,Sangam Vihar
146,SangamVihar,Sangam Vihar,Delhi,Delhi,South,Mehrauli,Sangam Vihar
147,Sarai Rohilla,Sarai Rohilla,Delhi,Delhi,North,Kotwali,Sarai Rohilla
148,Sarita Vihar,Sarita Vihar,Delhi,Delhi,South East,Sarita Vihar,Sarita Vihar
149,Sarojini Nagar,Sarojini Nagar,Delhi,Delhi,South west,Vasant Kunj,Safdarjung Enclave
150,Sector-23 Dwarka,Sector 23 Dwarka,Delhi,Delhi,Dwarka,Dwarka,Dwarka
151,Seelampur,Seelam pur,Delhi,Delhi,North East,KhajuriKhas,Seelampur
152,Seema Puri,Seema Puri,Delhi,Delhi,Shahdara,Shahdara,Seema Puri
153,Shahbad Dairy,Shahbad Dairy,Delhi,Delhi,Outer North,Bawana,Bawana
154,Shahdara,Shahdara,Delhi,Delhi,Shahdara,Shahdara,Shahdara
155,ShaheenBagh,Shaheen Bagh,Delhi,Delhi,South East,Kalkaji,New Friends Colony
156,ShakarPur,Shakar Pur,Delhi,Delhi,East District,Preet Vihar,Preet Vihar
157,Shalimar Bagh,Shalimar Bagh,Delhi,Delhi,North West,Shalimar Bagh,Shalimar Bagh
158,Shastri Park,Shastri Park,Delhi,Delhi,North East,KhajuriKhas,Seelampur
159,Sonia Vihar,Sonia Vihar,Delhi,Delhi,North East,KhajuriKhas,KhajuriKhas
160,South Avenue,South Avenue,Delhi,Delhi,New Delhi,Chanakya Puri,Chanakya Puri
161,South Campus,South Campus,Delhi,Delhi,South west,Delhi Cantt.,Vasant Vihar
162,South Rohini,Rohini South,Delhi,Delhi,Rohini,Rohini,Rohini
163,Subhash Place,Subhash Palace,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace
164,Sultan Puri,Sultan Puri,Delhi,Delhi,Outer,Mangol Puri,Sultan Puri
165,Sunlight Colony,Sunlight Colony,Delhi,Delhi,South East,Kalkaji,Lajpat Nagar
166,Swarup Nagar,Swaroop Nagar,Delhi,Delhi,Outer North,Swaroop Nagar,Swaroop Nagar
167,TilakMarg,Tilak Marg,Delhi,Delhi,New Delhi,Connaught Place,Barakhamba Road
168,Tigri,Tigri,Delhi,Delhi,South,Mehrauli,Sangam Vihar
169,Tilak Nagar,Tilak Nagar,Delhi,Delhi,West,Rajouri Garden,Tilak Nagar
170,TimarPur,TimarPur,Delhi,Delhi,North,Civil Lines,Timarpur
171,Tughlak Road,Tughlak Road,Delhi,Delhi,New Delhi,Chanakya Puri,Chanakya Puri
172,UttamNagar,Uttam Nagar,Delhi,Delhi,Dwarka,Dwarka,Dabri
173,Vasant Kunj (North),Vasant Kunj North,Delhi,Delhi,South west,Vasant Kunj,Vasant Kunj
174,Vasant Kunj (South),Vasant Kunj South,Delhi,Delhi,South west,Vasant Kunj,Vasant Kunj
175,Vasant Vihar,Vasant Vihar,Delhi,Delhi,South west,Delhi Cantt.,Vasant Vihar
176,Vijay Vihar,Vijay Vihar,Delhi,Delhi,Rohini,Rohini,Rohini
177,Vivek Vihar,Vivek Vihar,Delhi,Delhi,Shahdara,Gandhi Nagar,Vivek Vihar
178,Wazirabad,Wazirabad,Delhi,Delhi,North,Civil Lines,Timarpur
179,Welcome,Welcome Colony,Delhi,Delhi,North East,Bhajan Pura,Bhajan Pura
180,Moti Nagar,Moti Nagar,Delhi,Delhi,West,Punjabi Bagh,Punjabi Bagh
181,Saket,Saket,Delhi,Delhi,South,Hauz Khas,Hauz Khas
