Auto_Date,Auto_Time,Form_No,Entry_Personnel,Filled_Date,FIR_No,Police_Station,Time_Of_Crash,Date_Of_Crash,Collision_Type,Hit_and_Run,Special_Case,Case File Available,Crash_Severity,No_Of_ Fatalities,No_Of_ Injured,No_Of_Vehicles,Location,Road_Type,Road_1,Road_2,Road_3,GPS_Lat,GPS_Long,Note,Crash_ID,Distance_From_Landmark,Text97,Veh_Rel_Travel_Dir,Crash_ID_new,PS_Name,PS_Name_New,PS_State,PS_Dist,div_DCP,Sb_div_ACP,Circle_TI,Latitude,Longitude
20-07-2022,04:33 PM,210112,Ashwani,2022-04-26T00:00:00Z,0112,90,23:15,2021-08-19T00:00:00Z,Unknown,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Bhai Veer singh marg,Baired Lane T point,near center Verge Delhi,29,77,One motorcycle found in accidental condition on road . No eye witness of the incident.,3457,2,East,Unknown,3457011290,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.630798,77.205367
20-07-2022,04:33 PM,210113,Ashwani,2022-04-26T00:00:00Z,0113,90,20:30,2021-08-21T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,Baba Kharak Singh Marg,Infront of Bangla Sahib Gurudwara,Near Red Light,29,77,One pedestrian found dead on road with head injury . No eye witness of incident .,3458,2,South East,Unknown,3458011390,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.627477,77.207967
20-07-2022,04:33 PM,210117,Ashwani,2021-04-26T00:00:00Z,0117,90,08:00,2021-08-16T00:00:00Z,Single Vehicle Overturn,FALSE,FALSE,FALSE,Fatal Crash,1,1,0,Unknown,NA,Mandir marg Road,NA,NA,29,77,Two wheeler slipped driver and pillion rider injured . Later driver died in hospital under treatment.,3459,0,East,Not Applicable,3459011790,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.634131,77.200515
20-07-2022,04:33 PM,210136,Ashwani,2022-04-26T00:00:00Z,0136,90,14:00,2021-11-14T00:00:00Z,Others,FALSE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,R K Ashram Red Light,Punchkuia Road,New Delhi,29,77,"One boy run over by cluster bus on red light crossing . Victim rushed to hospital in PCR , Declared DOA by doctor.",3460,1,North East,Unknown,3460013690,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.639639,77.208012
20-07-2022,04:33 PM,210140,Ashwani,2021-04-26T00:00:00Z,0140,90,12:45,2021-11-20T00:00:00Z,Backend Collision,FALSE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Vandematram Marg,New Delhi,NA,29,77,"Motor cycle hit by car from behind , resulting in injuries to motorcycle driver and rider. Later during treatment pillion rider died.",3461,1,West,Same Direction,3461014090,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.609068,77.172556
20-07-2022,04:33 PM,210146,Ashwani,2022-04-26T00:00:00Z,0146,90,17:30,2021-12-09T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,NA,R K Ashram Metro station,Panchkuian Road,New Delhi,29,77,"One pedestrian brought to hospital in injuried condiotion . While under treatment he died . Hit and run case , no eye witness available",3462,1,East,Unknown,3462014690,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.639039,77.208739
20-07-2022,04:33 PM,210149,Ashwani,2022-04-26T00:00:00Z,0149,90,23:00,2021-12-14T00:00:00Z,Single Vehicle Hit Fixed Object,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Vandematram marg,near Karol Bagh,Gurgaon bus stop Delhi,29,77,Brezza car found in accidental condition on road . Driver was unconcious and not responding,3463,2,west,Not Applicable,3463014990,MANDIRMARG,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place,28.644595,77.197232
20-07-2022,04:33 PM,210234,Ashwani,2022-04-26T00:00:00Z,0234,91,23:14,2021-03-26T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,in front of Mangol pur village,on flyover mangol pur to madhuban,carriage way,29,77,one motorcyclist found unconcious on road . Case of hit and run .,3464,2,East,Unknown,3464023491,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.680462,77.087642
20-07-2022,04:33 PM,210235,Ashwani,2022-04-26T00:00:00Z,0235,91,14:30,2021-03-27T00:00:00Z,Backend Collision,TRUE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Elevated flyover road,from madhuban to peeragarhi,near west enclave pitampura delhi,29,77,driver and pillion rider on motorcycle hit by one tourist bus from behind .,3465,2,NA,Same Direction,3465023591,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.692992,77.100939
20-07-2022,04:33 PM,210346,Ashwani,2022-04-26T00:00:00Z,0346,91,00:30,2021-04-12T00:00:00Z,Head on Collision,TRUE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Opposite CNG pump,"Outer Ring road , Mangolpuri",Delhi,29,77,Scooty was hit Head on by truck . Driver died on spot and rider was injuried .,3466,2,NA,Opposite Direction,3466034691,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.690317,77.096882
20-07-2022,04:33 PM,210802,Ashwani,2022-04-26T00:00:00Z,0802,91,14:30,2021-07-04T00:00:00Z,Others,FALSE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,In front of Peeragarhi,towards Elevated road Mangolpuri,delhi,29,77,"Driver and helper were repairing there Tempo , while repairing helper was hit by TSR Auto . Injuries led to helper's death.",3467,1,East,Same Direction,3467080291,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.679652,77.09204
20-07-2022,04:33 PM,210967,Ashwani,2022-04-26T00:00:00Z,0967,91,13:45,2021-08-05T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Metro pillar 9-10,near West Enclave Red light,Pritampura towards Madhuban Chowk,29,77,One person found in accidential condition . No vehicle found on spot .,3468,2,NA,Unknown,3468096791,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.692917,77.100574
20-07-2022,04:33 PM,211194,Ashwani,2022-04-26T00:00:00Z,1194,91,02:30,2021-10-02T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Near Y Block Shamshan Ghat,Cut Khanjhawala Road,Mangolpuri Delhi,29,77,One Motorist found unconcious on road,3469,1,East,NA,3469119491,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.703275,77.088679
20-07-2022,04:33 PM,211202,Ashwani,2022-04-26T00:00:00Z,1202,91,00:00,2021-09-21T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Main road near Bhagat Ram,Stadium Mangolpuri,Delhi,29,77,Pedestrian found injuried on road . Hit and run case.,3470,0,NA,Unknown,3470120291,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.692432,77.088399
20-07-2022,04:33 PM,211315,Ashwani,2022-04-26T00:00:00Z,1315,91,08:55,2021-11-04T00:00:00Z,Unknown,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Towards west enclave,To Peera garhi Outer Ring Road Flyover,Mangolpuri Delhi,29,77,One Motorist found in unconciuos state on road .,3471,1,East,Unknown,3471131591,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.679711,77.094144
20-07-2022,04:33 PM,211415,Ashwani,2022-04-26T00:00:00Z,1415,91,00:10,2021-11-24T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,kanjhwhala Road near,Kaamdhenun school,Mangolpuri Delhi,29,77,"one Motorist found in unconcious state on road . Bike Parked on road , Hit and run case.",3472,2,NA,Unknown,3472141591,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.698645,77.096595
20-07-2022,04:33 PM,211439,Ashwani,2022-04-26T00:00:00Z,1439,91,17:15,2021-11-28T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Elevated road near Kali mata Mandir,Towards Peeragarhi chowk,Pitampura chowk Delhi,29,77,One Motorist found in unconcious state on road .,3473,2,NA,Unknown,3473143991,MANGOLPURI,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri,28.689232,77.096331
20-07-2022,04:33 PM,210135,Ashwani,2022-04-26T00:00:00Z,0135,84,05:20,2021-05-03T00:00:00Z,Single Vehicle Hit Fixed Object,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,GT road Flyover,Near Hanuman Mandir,Breaker MS Park Delhi,29,77,Motorist was speeding and hit the speed breaker.Driver was fine only the pillion rider fell of the bike and got injured.,3474,1,NA,Not Applicable,3474013584,MANSAROVERPARK,Mansarovar Park,Delhi,Delhi,Shahdara,Shahdara,Seema Puri,28.676077,77.293255
20-07-2022,04:33 PM,210485,Ashwani,2022-04-27T00:00:00Z,0485,84,23:30,2021-11-05T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Nathu Colony underpass,Shahadra,Delhi,29,77,Motorcycle along with driver found on road in unconcious state. When taken to hopital was declared DOA.,3476,1,NA,Unknown,3476048584,MANSAROVERPARK,Mansarovar Park,Delhi,Delhi,Shahdara,Shahdara,Seema Puri,28.689554,77.299344
20-07-2022,04:33 PM,210052,Ashwani,2022-04-27T00:00:00Z,0052,92,14:00,2021-03-28T00:00:00Z,Hit Pedestrian,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Near Bonta Park Road,Delhi,NA,29,77,"One lady found unconcious on road , later taken to hopital by son .",3477,1,South East,Unknown,3477005292,MAURICENAGAR,Maurice Nagar,Delhi,Delhi,North,Civil Lines,Civil Lines,28.684904,77.21645
20-07-2022,04:33 PM,210183,Ashwani,2022-04-27T00:00:00Z,0183,92,06:00,2021-12-12T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Ring Road Opposite Mall Apartment,Carriage way GTB Nagar to,Civil Lines Delhi,29,77,One man found in unconcious state with no vehicle and seems to be case of Hit and Run .,3478,1,North,Unknown,3478018392,MAURICENAGAR,Maurice Nagar,Delhi,Delhi,North,Civil Lines,Civil Lines,28.697158,77.209519
20-07-2022,04:33 PM,210184,Ashwani,2022-04-27T00:00:00Z,0184,92,20:45,2021-12-11T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Acharya sushil Marg,Near Chowk Chaburja,Delhi University,29,77,Scooty found in accidental state and both driver and rider were laying injured on the spot.,3479,2,South,Unknown,3479018492,MAURICENAGAR,Maurice Nagar,Delhi,Delhi,North,Civil Lines,Civil Lines,28.685001,77.213754
20-07-2022,04:33 PM,210354,Ashwani,2022-04-27T00:00:00Z,0354,93,15:20,2021-04-28T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,District Park Near Toilet District Park,From AP block petrol pump towards,Pitam pura Delhi,29,77,Rickshaw puller was hit by car and injured . Car driver fled from the scene . Two Eye witness followed the car for some distance .,3480,2,North west,Unknown,3480035493,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.707508,77.136671
20-07-2022,04:33 PM,210372,Ashwani,2022-04-27T00:00:00Z,0372,93,11:00,2021-04-30T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Near Santom Hospital,Pitampura,NA,29,77,One Pedestrian found unconcious on road . Taken to hospital in private vehicle.,3481,2,North West,Unknown,3481037293,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.713931,77.138735
20-07-2022,04:33 PM,210413,Ashwani,2022-04-27T00:00:00Z,0413,93,22:53,2021-05-12T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Outer Ring Road,Under pass Madhuban Chowk,Pitampura Delhi,29,77,Scooty driver was hit by some unknown vehicle. Was taken to hospital in CATS ambulance.,3482,2,South west,Unknown,3482041393,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.705935,77.128218
20-07-2022,04:33 PM,210468,Ashwani,2022-04-27T00:00:00Z,0468,93,09:15,2021-05-29T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,elevated Road from Madhuban chowk,"to Mukarba Chowk , outer ring road",In front of Monte Carlo showroom near Santom hospital delhi,29,77,One Delhi police staff found in accidental conditionon road along her Scooty.,3483,2,North west,Unknown,3483046893,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.703745,77.130819
20-07-2022,04:33 PM,210674,Ashwani,2022-04-27T00:00:00Z,0674,93,19:20,2021-07-13T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Outer Ring Road,Near Rakesh Petrol Pump,Pitampura Delhi,29,77,"One Pedestrian hit by unknown vehicle, no eyewitness found .",3484,2,South,Unknown,3484067493,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.719594,77.140252
20-07-2022,04:33 PM,210778,Ashwani,2022-04-27T00:00:00Z,0778,93,22:25,2021-07-01T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Infront of New Bangali taxi stand,Near Sub Registrar ofiice,"Pitampura towards Madhuban Chowk , Outer Ring road",29,77,Rickshaw puller was hit by car and taken to hospital by ambulance .,3485,2,North,Unknown,3485077893,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.716967,77.137274
20-07-2022,04:33 PM,210912,Ashwani,2022-04-27T00:00:00Z,0912,93,00:40,2021-08-26T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Prashant Vihar flyover Pitampura,In front of Santom Hospital,delhi,29,77,One Motor cycle rider hit by truck . No details of truck and Motorcycle driver available .,3486,2,west,Unknown,3486091293,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.712131,77.137967
20-07-2022,04:33 PM,211173,Ashwani,2022-04-27T00:00:00Z,1173,93,10:30,2021-11-06T00:00:00Z,Unknown,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,"Near Foot Over bridge , outer Ring Road",From Madhuban chowk to Mukarba chowk,opp. RL block Pitampura Delhi,29,77,One Motorcycle rider found  when taken to hospital declared DOA.,3487,2,WEST,Unknown,3487117393,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.70914,77.135662
20-07-2022,04:33 PM,211233,Ashwani,2022-04-27T00:00:00Z,1233,93,19:00,2021-11-29T00:00:00Z,Backend Collision,FALSE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Power House Pitampura,Outer Ring Road  Flyover,NA,29,77,"Motorcyclist was hit from behind by car , sustained injury and later taken to hospital  in an ambulance.",3488,2,North West,Same Direction,3488123393,MAURYAENCLAVE,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace,28.70875,77.135233
20-07-2022,04:33 PM,210121,Ashwani,2022-04-27T00:00:00Z,0121,95,19:40,2021-05-11T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Near Tagore School,Sat Guru Ram Singh Marg,Mayapuri Delhi,29,77,One pedestrian hit by Unknown vehicle. Taken to hospital by CATS ambulance.,3489,0,South,Unknown,3489012195,MAYAPURI,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri,28.624658,77.119243
20-07-2022,04:33 PM,210245,Ashwani,2022-04-27T00:00:00Z,0245,95,00:00,2021-07-03T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Phase 1 Mayapuri,Delhi,NA,29,77,"One person brought to hospital in ambulace .Hit and run case , victim in pedestrian .",3490,1,North East,Unknown,3490024595,MAYAPURI,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri,28.627012,77.122876
20-07-2022,04:33 PM,210362,Ashwani,2022-04-27T00:00:00Z,0362,95,22:16,2021-09-03T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Near Ram Mandir phase 1,Near Police station Mayapuri,Delhi,29,77,Pedestrian found injured and rushed to hospital by PCR van . Declared DOA.,3491,0,North,Unknown,3491036295,MAYAPURI,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri,28.627792,77.122023
20-07-2022,04:33 PM,210374,Ashwani,2022-04-27T00:00:00Z,0374,95,NA,2021-09-11T00:00:00Z,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Sat Guru Ram singh marg,Opp Crystal Palace Banquet Hall,Mayapuri,29,77,Motorcyclist hit by car and car Driver ran away from the accident site.,3492,0,South,Same Direction,3492037495,MAYAPURI,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri,28.623127,77.117923
20-07-2022,04:33 PM,210412,Ashwani,2022-04-28T00:00:00Z,0412,95,05:00,2021-10-11T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Main Road Satguru Ram Singh Marg,Near Mohan Mandir Gate,Mayapuri Delhi,29,77,"Pedestrian hit by unknown vehicle , died on the spot .",3493,1,West,Unknown,3493041295,MAYAPURI,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri,28.628801,77.122034
20-07-2022,04:33 PM,210428,Ashwani,2022-04-28T00:00:00Z,0428,95,18:00,2021-10-17T00:00:00Z,Backend Collision,FALSE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,Govt. Press Red Light,Mayapuri Delhi,NA,29,77,Cyclist was hit by Tempo which resulted in On the spot death of cyclist.,3494,2,North,Same Direction,3494042895,MAYAPURI,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri,28.63554,77.12806
20-07-2022,04:33 PM,210540,Ashwani,2022-04-28T00:00:00Z,0540,95,00:00,2021-12-30T00:00:00Z,Backend Collision,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,NA,opposite CNG pump,D Block Janakpuri,NA,29,77,Scooty rider was hit by an unknown vehicle . Victim was taken to hospital by public person .,3495,2,south,Same Direction,3495054095,MAYAPURI,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri,28.612108,77.104292
20-07-2022,04:33 PM,210081,Ashwani,2022-04-28T00:00:00Z,0081,94,08:43,2021-02-11T00:00:00Z,Unknown,FALSE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,NA,Lane towards Gazipur,in front of Chilla Barat Ghar,Chilla Village Mayur Vihar 1 Delhi,29,77,Scooty and truck collided resulting in ON THE SPOT death of motorist and truck driver got injured.,3496,2,south,Same Direction,3496008194,MAYURVIHAR,Mayur Vihar,Delhi,Delhi,East District,Kalyan Puri,Mayur Vihar,28.59576,77.30347
20-07-2022,04:33 PM,210183,Ashwani,2022-04-28T00:00:00Z,0183,94,23:49,2021-04-09T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Near Samachar Apartments,Bus Stop towards Akshardham,NA,29,77,Pedestrian hit by  unknown vehicle . Victim died on the spot . No details available about the vehicle nor of the victim .,3497,2,South west,Unknown,3497018394,MAYURVIHAR,Mayur Vihar,Delhi,Delhi,East District,Kalyan Puri,Mayur Vihar,28.59636,77.2929
20-07-2022,04:33 PM,210347,Ashwani,2022-04-28T00:00:00Z,0347,94,00:48,2021-06-13T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,Infront of Mother Dairy 17 block,Trilokpuri,Delhi,29,77,Pedestrian was hit by an unknown vehicle . Victim died on the spot and was taken to hospital by a passerby .,3498,1,East,Unknown,3498034794,MAYURVIHAR,Mayur Vihar,Delhi,Delhi,East District,Kalyan Puri,Mayur Vihar,28.60653,77.30987
20-07-2022,04:33 PM,210407,Ashwani,2022-04-28T00:00:00Z,0407,94,00:00,2021-07-28T00:00:00Z,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,NA,33 Block Trilokpuri,Delhi,NA,29,77,Pedestrian was hit by an unknown vehicle and taken to hospital by relative.,3499,2,East,Unknown,3499040794,MAYURVIHAR,Mayur Vihar,Delhi,Delhi,East District,Kalyan Puri,Mayur Vihar,28.60178,77.30288
