Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
05-Sep-22,01:42 PM,2365,1518,Three Wheeler - Goods,Pedestrian,DL 1LZ1230,,,,,,,,,,,
05-Sep-22,01:42 PM,2366,1519,MTW - Motorcycle Heavy,Pedestrian,DL 8SCA 0805,,,,,,,,,,,
05-Sep-22,01:42 PM,2367,1520,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2368,1521,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2369,1522,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2370,1523,"Car - SUV, Passenger",Multi-Axle Heavy Commercial Vehicle,DL 2CAQ 1723,,,,,,,,,,,
05-Sep-22,01:42 PM,2371,1523,Multi-Axle Heavy Commercial Vehicle,"Car - SUV, Passenger",HR 69C 8423,,,,,,,,,,,
05-Sep-22,01:42 PM,2372,1524,MTW - Motorcycle Light,Unknown,DL 11SW 4862,,,,,,,,,,,
05-Sep-22,01:42 PM,2373,1525,Two_Axle Heavy Commercial Vehicle,Three Wheeler - Passenger,DL 1M 6152,,,,,,,,,,,
05-Sep-22,01:42 PM,2374,1525,Three Wheeler - Passenger,Two_Axle Heavy Commercial Vehicle,Dl 1RN 0380,,,,,,,,,,,
05-Sep-22,01:42 PM,2375,1525,MTW - Motorcycle Light,Three Wheeler - Passenger,DL 11SY 1378,,,,,,,,,,,
05-Sep-22,01:42 PM,2376,1526,"Car - Van, Passenger",MTW - Motorcycle Light,DL 9CQS 2783,,,,,,,,,,,
05-Sep-22,01:42 PM,2377,1526,MTW - Motorcycle Light,"Car - Van, Passenger",DL 8SAU 6947,,,,,,,,,,,
05-Sep-22,01:42 PM,2378,1527,MTW - Scooter/Moped,Pedestrian,DL 9SAP 5456,,,,,,,,,,,
05-Sep-22,01:42 PM,2379,1528,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2380,1529,Bicycle,Light Commercial Vehicle,,,,,,,,,,,,
05-Sep-22,01:42 PM,2381,1529,Light Commercial Vehicle,Bicycle,HR 69B 5975,,,,,,,,,,,
05-Sep-22,01:42 PM,2382,1530,MTW - Scooter/Moped,Unknown,DL 11SS 4081,,,,,,,,,,,
05-Sep-22,01:42 PM,2383,1531,MTW - Motorcycle Light,"Car - Van, Passenger",DL 11SV 9232,,,,,,,,,,,
05-Sep-22,01:42 PM,2384,1531,"Car - Van, Passenger",MTW - Motorcycle Light,DL 4CAJ 5291,,,,,,,,,,,
05-Sep-22,01:42 PM,2385,1532,MTW - Motorcycle Light,"Car - Van, Passenger",DL 11SA 2848,,,,,,,,,,,
05-Sep-22,01:42 PM,2386,1532,"Car - Van, Passenger",MTW - Motorcycle Light,HR 13G 6945,,,,,,,,,,,
05-Sep-22,01:42 PM,2387,1533,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2388,1534,Two_Axle Heavy Commercial Vehicle,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2389,1535,"Car - Van, Passenger",Not Applicable,DL 9CAM 5974,,,,,,,,,,,
05-Sep-22,01:42 PM,2390,1536,MTW - Motorcycle Light,"Car - Van, Passenger",DL 4SBH 3302,,,,,,,,,,,
05-Sep-22,01:42 PM,2391,1536,"Car - Van, Passenger",MTW - Motorcycle Light,DL 4CAU 8032,,,,,,,,,,,
05-Sep-22,01:42 PM,2392,1537,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2393,1538,MTW - Motorcycle Light,Two_Axle Heavy Commercial Vehicle,DL 4SCK 8307,,,,,,,,,,,
05-Sep-22,01:42 PM,2394,1538,Two_Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,HR 74 8212,,,,,,,,,,,
05-Sep-22,01:42 PM,2395,1539,MTW - Scooter/Moped,Unknown,DL 4SCV 9599,,,,,,,,,,,
05-Sep-22,01:42 PM,2396,1540,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2397,1541,MTW - Motorcycle Light,"Car - Van, Passenger",DL 10SQ 7196,,,,,,,,,,,
05-Sep-22,01:42 PM,2398,1541,"Car - Van, Passenger",MTW - Motorcycle Light,n/a,,,,,,,,,,,
05-Sep-22,01:42 PM,2399,1542,MTW - Motorcycle Light,Pedestrian,DL 8SBP 5759,,,,,,,,,,,
05-Sep-22,01:42 PM,2400,1543,MTW - Motorcycle Heavy,Unknown,DL 4SCU 8645,,,,,,,,,,,
05-Sep-22,01:42 PM,2401,1543,Unknown,MTW - Motorcycle Heavy,,,,,,,,,,,,
05-Sep-22,01:42 PM,2402,1544,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2403,1545,Bicycle,Unknown,,,,,,,,,,,,
05-Sep-22,01:42 PM,2404,1545,Unknown,Bicycle,,,,,,,,,,,,
05-Sep-22,01:42 PM,2405,1546,MTW - Scooter/Moped,Unknown,HR 32J 2731,,,,,,,,,,,
05-Sep-22,01:42 PM,2406,1546,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2407,1547,MTW - Motorcycle Light,Two-Axle Medium Commercial Vehicle,DL 9SBG 7008,,,,,,,,,,,
05-Sep-22,01:42 PM,2408,1547,Two-Axle Medium Commercial Vehicle,MTW - Motorcycle Light,DL 1LM 6139,,,,,,,,,,,
05-Sep-22,01:42 PM,2409,1548,MTW - Motorcycle Light,Two_Axle Heavy Commercial Vehicle,DL 3SCL 0925,,,,,,,,,,,
05-Sep-22,01:42 PM,2410,1548,Two_Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2411,1549,MTW - Motorcycle Light,Truck (Generic),DL 4SCW 8920,,,,,,,,,,,
05-Sep-22,01:42 PM,2412,1549,Truck (Generic),MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2413,1550,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2414,1551,"Car - SUV, Passenger",Two_Axle Heavy Commercial Vehicle,DL 1LAA 1139,,,,,,,,,,,
05-Sep-22,01:42 PM,2415,1551,Two_Axle Heavy Commercial Vehicle,"Car - SUV, Passenger",HR 55L 6363,,,,,,,,,,,
05-Sep-22,01:42 PM,2416,1552,MTW - Motorcycle Light,Bus,DL 5SAH 3511,,,,,,,,,,,
05-Sep-22,01:42 PM,2417,1552,Bus,MTW - Motorcycle Light,HR 57A 2989,,,,,,,,,,,
05-Sep-22,01:42 PM,2418,1553,MTW - Scooter/Moped,Bus,DL 8SBS 2116,,,,,,,,,,,
05-Sep-22,01:42 PM,2419,1553,Bus,MTW - Scooter/Moped,HR 55Q 8623,,,,,,,,,,,
05-Sep-22,01:42 PM,2420,1554,"Car - Van, Passenger",Pedestrian,DL 6CP 1678,,,,,,,,,,,
05-Sep-22,01:42 PM,2421,1555,MTW - Motorcycle Light,Unknown,DL 8SCM 5247,,,,,,,,,,,
05-Sep-22,01:42 PM,2422,1555,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2423,1556,Hand Drawn Vehicle,Two-Axle Medium Commercial Vehicle,,,,,,,,,,,,
05-Sep-22,01:42 PM,2424,1556,Two-Axle Medium Commercial Vehicle,Hand Drawn Vehicle,HR 63B 6803,,,,,,,,,,,
05-Sep-22,01:42 PM,2425,1557,MTW - Scooter/Moped,Unknown,DL 11A 2941,,,,,,,,,,,
05-Sep-22,01:42 PM,2426,1557,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
